Country,2013,2014,2015,2016,2017,2018,2019
Albania,..,..,..,..,..,..,..
Algeria,..,..,..,..,2144,..,..
American Samoa,..,..,..,..,..,..,..
Angola,..,..,..,168,..,..,..
Argentina,7830,8035,7315,7071,7469,..,..
Armenia,45,46,86,67,86,64,..
Australia,..,..,..,..,..,..,..
Austria,..,..,..,..,..,..,..
Azerbaijan,1049,917,886,715,803,855,..
Bahrain,..,2,..,..,..,..,..
Bangladesh,..,..,..,..,..,..,..
Belarus,1057,982,823,981,1000,946,..
Belgium,..,..,..,..,..,..,..
Benin,..,..,..,..,..,..,..
Bermuda,..,..,..,..,..,..,..
Bolivia (Plurinational State of),258,288,..,..,..,..,..
Bosnia and Herzegovina,178,165,190,170,202,126,..
Botswana,168,..,..,..,..,..,..
Brazil,..,..,..,..,..,..,..
Brunei Darussalam,..,..,..,..,..,6,..
Bulgaria,1286,1230,..,..,..,..,..
Burkina Faso,..,286,..,..,207,..,..
Burundi,..,..,..,..,..,117,..
Cambodia,..,..,139.3,..,..,..,..
Cameroon,..,..,..,..,..,..,..
Canada,..,..,..,..,..,..,..
Cabo Verde,..,24,..,..,..,..,..
Central African Republic,..,..,..,..,..,..,..
Chad,..,..,..,203,..,..,..
Chile,..,..,..,..,..,..,..
China,..,..,..,..,..,..,..
"China, Hong Kong Special Administrative Region",..,..,..,..,..,..,..
"China, Macao Special Administrative Region",..,..,..,..,..,..,..
Colombia,427,439,520,631,631,..,..
Congo,..,..,..,..,..,..,..
Costa Rica,702,613,605,419,401,..,..
Cote d'Ivoire,..,..,..,89,..,..,..
Croatia,989,875,..,..,..,..,..
Cuba,..,..,..,..,..,..,..
Cyprus,65,61,..,..,..,..,..
Czechia,2372,2368,..,..,..,..,..
Democratic Republic of the Congo,..,..,264,..,..,..,..
Denmark,..,..,..,..,..,..,..
Ecuador,833,924,..,..,..,..,..
Egypt,4568,19583,19379,19979,20083,20042,..
El Salvador,31,33,139,135,78,..,..
Estonia,306,296,262,..,..,..,..
Eswatini,..,..,58,..,..,..,..
Ethiopia,2488,..,..,..,4170,..,..
Faeroe Islands,..,..,..,..,..,..,..
Finland,..,..,..,..,..,..,..
France,..,..,..,..,..,..,..
Gabon,..,64,..,..,..,..,..
Gambia,..,..,..,..,..,33,..
