Country,2013,2014,2015,2016,2017,2018,2019
Albania,..,..,..,..,..,..,..
Algeria,..,..,..,..,25834,..,..
American Samoa,..,..,..,..,..,..,..
Angola,..,..,..,98,..,..,..
Argentina,13749,13676,13140,13263,12577,..,..
Armenia,546,548,510,533,553,604,..
Australia,..,..,..,..,..,..,..
Austria,..,..,..,..,..,..,..
Azerbaijan,2540,2621,2424,1960,1858,1773,..
Bahrain,..,323,..,..,..,..,..
Bangladesh,..,..,..,..,..,..,..
Belarus,11195,10435,9964,10057,10067,10650,..
Belgium,..,..,..,..,..,..,..
Benin,..,..,..,..,..,..,..
Bermuda,..,..,3,..,..,..,..
Bolivia (Plurinational State of),348,369,..,..,..,..,..
Bosnia and Herzegovina,504,495,933,807,912,646,..
Botswana,147,..,..,..,..,..,..
Brazil,..,..,..,..,..,..,..
Brunei Darussalam,..,..,..,..,..,108,..
Bulgaria,4446,5454,..,..,..,..,..
Burkina Faso,..,58,..,..,71,..,..
Burundi,..,..,..,..,..,37,..
Cambodia,..,..,149,..,..,..,..
Cameroon,..,..,..,..,..,..,..
Canada,..,..,..,..,..,..,..
Cabo Verde,..,34,..,..,..,..,..
Central African Republic,..,..,..,..,..,..,..
Chad,..,..,..,598,..,..,..
Chile,..,..,..,..,..,..,..
China,..,..,..,..,..,..,..
"China, Hong Kong Special Administrative Region",..,..,..,..,..,..,..
"China, Macao Special Administrative Region",158,206,185,311,311,450,..
Colombia,1333,1541,1909,2537,2537,..,..
Congo,..,..,..,..,..,..,..
Costa Rica,618,739,795,780,571,..,..
C™te d'Ivoire,..,..,..,520,..,..,..
Croatia,3199,3170,..,..,..,..,..
Cuba,..,..,..,..,..,..,..
Cyprus,519,518,..,..,..,..,..
Czechia,19254,20662,..,..,..,..,..
Democratic Republic of the Congo,..,..,82,..,..,..,..
Denmark,..,..,..,..,..,..,..
Ecuador,1927,2448,..,..,..,..,..
Egypt,7977,12445,12632,13064,12962,12080,..
El Salvador,130,170,215,148,194,..,..
Estonia,838,859,891,..,..,..,..
Eswatini,..,..,24,..,..,..,..
Ethiopia,779,..,..,..,1761,..,..
Faeroe Islands,..,..,..,..,..,..,..
Finland,..,..,..,..,..,..,..
France,..,..,..,..,..,..,..
Gabon,..,67,..,..,..,..,..
Gambia,..,..,..,..,..,1,..
