Country,2013,2014,2015,2016,2017,2018,2019
Albania,..,..,..,..,..,..,..
Algeria,..,..,..,..,1110,..,..
American Samoa,..,..,..,..,..,..,..
Angola,..,..,..,42,..,..,..
Argentina,..,..,..,..,..,..,..
Armenia,30,35,45,34,57,38,..
Australia,..,..,..,..,..,..,..
Austria,..,..,..,..,..,..,..
Azerbaijan,404,359,352,280,331,366,..
Bahrain,..,..,..,..,..,..,..
Bangladesh,..,..,..,..,..,..,..
Belarus,635,587,516,577,581,543,..
Belgium,..,..,..,..,..,..,..
Benin,..,..,..,..,..,..,..
Bermuda,..,..,..,..,..,..,..
Bolivia (Plurinational State of),55,61,..,..,..,..,..
Bosnia and Herzegovina,76,66,89,79,91,60,..
Botswana,50,..,..,..,..,..,..
Brazil,..,..,..,..,..,..,..
Brunei Darussalam,..,..,..,..,..,2,..
Bulgaria,699,687,..,..,..,..,..
Burkina Faso,..,25,..,..,25,..,..
Burundi,..,..,..,..,..,15,..
Cambodia,..,..,29,..,..,..,..
Cameroon,..,..,..,..,..,..,..
Canada,..,..,..,..,..,..,..
Cabo Verde,..,9,..,..,..,..,..
Central African Republic,..,..,..,..,..,..,..
Chad,..,..,..,12,..,..,..
Chile,..,..,..,..,..,..,..
China,..,..,..,..,..,..,..
"China, Hong Kong Special Administrative Region",..,..,..,..,..,..,..
"China, Macao Special Administrative Region",..,..,..,..,..,..,..
Colombia,124,130,153,198,198,..,..
Congo,..,..,..,..,..,..,..
Costa Rica,223,178,192,151,147,..,..
C™te d'Ivoire,..,..,..,13,..,..,..
Croatia,488,383,..,..,..,..,..
Cuba,..,..,..,..,..,..,..
Cyprus,18,19,..,..,..,..,..
Czechia,894,937,..,..,..,..,..
Democratic Republic of the Congo,..,..,20,..,..,..,..
Denmark,..,..,..,..,..,..,..
Ecuador,284,290,..,..,..,..,..
Egypt,1275,6331,6627,6926,7032,7069,..
El Salvador,11,12,39,34,13,..,..
Estonia,158,151,..,..,..,..,..
Eswatini,..,..,17,..,..,..,..
Ethiopia,190,..,..,..,500,..,..
Faeroe Islands,..,..,..,..,..,..,..
Finland,..,..,..,..,..,..,..
France,..,..,..,..,..,..,..
Gabon,..,14,..,..,..,..,..
Gambia,..,..,..,..,..,6,..
Georgia,..,88,121,128,181,223,..
Germany,..,..,..,..,..,..,..
Ghana,..,..,289,..,..,..,..
Greece,..,..,..,..,..,..,..
Greenland,..,..,..,..,..,..,..
Guam,..,..,..,..,..,..,..
Guatemala,38,25,33,45,32,..,..
Guinea,..,..,..,..,..,..,..
Honduras,..,..,..,..,48,..,..
Hungary,780,599,..,..,..,..,..
Iceland,..,..,..,..,..,..,..
India,..,..,..,..,..,..,..
Indonesia,..,..,..,..,..,..,..
Iran (Islamic Republic of),2613,..,3978,..,5531,..,..
Iraq,..,172,165,313,235,245,..
Ireland,..,..,..,..,..,..,..
Israel,..,..,..,..,..,..,..
Italy,..,..,..,..,..,..,..
Jamaica,..,..,..,..,..,..,..
Japan,8312,8671,8521,..,..,..,..
Jordan,..,..,..,189,91,..,..
Kazakhstan,934,885,1002,952,901,903,..
Kenya,..,..,..,..,..,..,..
Kuwait,91,..,10,25,3,7,..
Kyrgyzstan,..,107,94,92,110,..,..
Lao People's Democratic Republic,..,..,..,..,..,..,..
Latvia,275,..,310,421,403,..,..
Lesotho,..,..,14,..,..,..,..
Libya,..,..,..,..,..,..,..
Lithuania,264,294,298,335,301,..,..
Luxembourg,..,..,..,..,..,..,..
Madagascar,..,41,..,44,44,45,..
Malawi,..,..,..,..,..,..,..
Malaysia,..,..,3976,..,..,..,..
Mali,..,..,30,..,14,..,..
Malta,8,6,..,..,..,..,..
Mauritania,..,..,..,1,..,1,..
Mauritius,..,..,..,..,..,92,..
Mexico,..,..,..,..,..,..,..
Monaco,..,..,..,..,..,..,..
Mongolia,166,166,150,167,158,128,..
Montenegro,37,51,29,..,..,..,..
Morocco,..,..,..,164,..,..,..
Mozambique,..,..,138,..,..,..,..
Myanmar,..,..,..,..,485,..,..
Namibia,..,36,..,..,..,..,..
Nauru,..,..,..,..,..,..,..
Nepal,..,..,..,..,..,..,..
Netherlands,2558.088,2093.262,..,..,..,..,..
New Zealand,..,..,..,..,..,..,..
Nicaragua,..,..,..,..,..,..,..
Niger,4,..,..,..,..,..,..
Nigeria,..,..,..,..,..,..,..
North Macedonia,..,112,103,103,86,129,..
Norway,..,..,..,..,..,..,..
Oman,86,94,96,123,120,27,..
Pakistan,872,..,843,..,2549,..,..
Palestine,..,..,..,..,..,..,..
Panama,..,..,..,..,..,..,..
Papua New Guinea,..,..,..,16,..,..,..
Paraguay,..,..,..,157,159,..,..
Peru,..,101,96,..,..,130,..
Philippines,1741.6972,..,1656.25,..,..,..,..
Poland,2958,3172,..,..,..,..,..
Portugal,1060.11,1103.68,..,..,..,..,..
Puerto Rico,..,..,..,..,..,..,..
Qatar,..,..,68,..,..,5,..
Republic of Korea,2582,2858,3012,..,..,..,..
Republic of Moldova,182,183,212,205,199,195,..
Romania,1137,1203,..,..,..,..,..
