Country,2013,2014,2015,2016,2017,2018,2019
Albania,..,..,..,..,..,..,..
Algeria,..,..,..,..,11041,..,..
American Samoa,..,..,..,..,..,..,..
Angola,..,..,..,19,..,..,..
Argentina,..,..,..,..,..,..,..
Armenia,183,179,172,187,186,254,..
Australia,..,..,..,..,..,..,..
Austria,..,..,..,..,..,..,..
Azerbaijan,1180,1189,1128,1045,987,922,..
Bahrain,..,96,..,..,..,..,..
Bangladesh,..,..,..,..,..,..,..
Belarus,3527,3348,3062,3008,2962,3053,..
Belgium,..,..,..,..,..,..,..
Benin,..,..,..,..,..,..,..
Bermuda,..,..,..,..,..,..,..
Bolivia (Plurinational State of),59,70,..,..,..,..,..
Bosnia and Herzegovina,149,160,363,317,323,239,..
Botswana,21,..,..,..,..,..,..
Brazil,..,..,..,..,..,..,..
Brunei Darussalam,..,..,..,..,..,31,..
Bulgaria,1559,1686,..,..,..,..,..
Burkina Faso,..,4,..,..,12,..,..
Burundi,..,..,..,..,..,3,..
Cambodia,..,..,22,..,..,..,..
Cameroon,..,..,..,..,..,..,..
Canada,..,..,..,..,..,..,..
Cabo Verde,..,7,..,..,..,..,..
Central African Republic,..,..,..,..,..,..,..
Chad,..,..,..,4,..,..,..
Chile,..,..,..,..,..,..,..
China,..,..,..,..,..,..,..
"China, Hong Kong Special Administrative Region",..,..,..,..,..,..,..
"China, Macao Special Administrative Region",30,36,30,56,53,86,..
Colombia,296,336,443,649,649,..,..
Congo,..,..,..,..,..,..,..
Costa Rica,184,218,200,188,137,..,..
Cote d'Ivoire,..,..,..,50,..,..,..
Croatia,995,1096,..,..,..,..,..
Cuba,..,..,..,..,..,..,..
Cyprus,146,143,..,..,..,..,..
Czechia,2779,2882,..,..,..,..,..
Democratic Republic of the Congo,..,..,11,..,..,..,..
Denmark,..,..,..,..,..,..,..
Ecuador,576,901,..,..,..,..,..
Egypt,1414,2909,3105,3425,3444,3492,..
El Salvador,23,29,44,25,42,..,..
Estonia,263,256,..,..,..,..,..
Eswatini,..,..,7,..,..,..,..
Ethiopia,55,..,..,..,203,..,..
Faeroe Islands,..,..,..,..,..,..,..
Finland,..,..,..,..,..,..,..
France,..,..,..,..,..,..,..
Gabon,..,7,..,..,..,..,..
Gambia,..,..,..,..,..,..,..
Georgia,..,612,509,497,614,731,..
Germany,..,..,..,..,..,..,..
Ghana,..,..,64,..,..,..,..
Greece,..,..,..,..,..,..,..
Greenland,..,..,..,..,..,..,..
Guam,..,..,..,..,..,..,..
Guatemala,25,48,42,32,15,..,..
Guinea,..,..,..,..,..,..,..
Honduras,..,..,..,..,23,..,..
Hungary,2462,2433,..,..,..,..,..
Iceland,..,..,..,..,..,..,..
India,..,..,..,..,..,..,..
Indonesia,..,..,..,..,..,..,..
Iran (Islamic Republic of),3936,..,5007,..,12681,..,..
Iraq,..,309,507,560,782,887,..
Ireland,..,..,..,..,..,..,..
Israel,..,..,..,..,..,..,..
Italy,..,..,..,..,..,..,..
Jamaica,..,..,..,..,..,..,..
Japan,22780,24031,24228,..,..,..,..
Jordan,..,..,..,288,425,..,..
Kazakhstan,2233,2390,2392,2106,2248,2104,..
Kenya,..,..,..,..,..,..,..
Kuwait,161,..,303,368,492,569,..
Kyrgyzstan,..,219,141,211,181,..,..
Lao People's Democratic Republic,..,..,..,..,..,..,..
Latvia,480,..,521,663,663,..,..
Lesotho,..,..,3,..,..,..,..
Libya,..,..,..,..,..,..,..
Lithuania,861,858,819,912,888,..,..
Luxembourg,..,..,..,..,..,..,..
Madagascar,..,76,..,79,122,130,..
Malawi,..,..,..,..,..,..,..
Malaysia,..,..,14137,..,..,..,..
Mali,..,..,4,..,2,..,..
Malta,68,72,..,..,..,..,..
Mauritania,..,..,..,2,..,19,..
Mauritius,..,..,..,..,..,47,..
Mexico,..,..,..,..,..,..,..
Monaco,..,..,..,..,..,..,..
Mongolia,112,117,92,47,81,75,..
Montenegro,132,145,134,..,..,..,..
Morocco,..,..,..,..,..,..,..
Mozambique,..,..,49,..,..,..,..
Myanmar,..,..,..,..,467,..,..
Namibia,..,10,..,..,..,..,..
Nauru,..,..,..,..,..,..,..
Nepal,..,..,..,..,..,..,..
Netherlands,6367.405,6687.911,..,..,..,..,..
New Zealand,..,..,..,..,..,..,..
Nicaragua,..,..,..,..,..,..,..
Niger,6,..,..,..,..,..,..
Nigeria,..,..,..,..,..,..,..
North Macedonia,..,252,220,296,247,375,..
Norway,..,..,..,..,..,..,..
Oman,10,13,57,65,39,49,..
Pakistan,1631,..,3307,..,4203,..,..
Palestine,..,..,..,..,..,..,..
Panama,..,..,..,..,..,..,..
Papua New Guinea,..,..,..,13,..,..,..
Paraguay,..,..,..,61,67,..,..
Peru,..,163,174,..,..,55,..
Philippines,5727.82428,..,3057.12408,..,..,..,..
Poland,7886,8339,..,..,..,..,..
Portugal,7014.96,6767.08,..,..,..,..,..
Puerto Rico,..,..,..,..,..,..,..
Qatar,..,..,139,..,..,121,..
Republic of Korea,28677,31291,32813,..,..,..,..
Republic of Moldova,130,125,160,108,106,103,..
Romania,5222,5221,..,..,..,..,..
Russian Federation,80779,79979,80631,..,..,..,..
Rwanda,5,..,..,13,..,..,..
Saint Helena,..,..,..,..,..,..,..
Saint Lucia,..,..,..,..,..,..,..
Saint Vincent and the Grenadines,..,..,..,..,..,..,..
Saudi Arabia,..,..,..,..,..,..,..
Senegal,..,..,202,..,..,..,..
Serbia,1247,1555,1648,1809,1704,1839,..
Seychelles,..,..,..,..,..,..,..
Singapore,..,..,..,..,..,..,..
Slovakia,2066,2040,..,..,..,..,..
Slovenia,1074,..,..,..,..,..,..
South Africa,..,..,..,..,..,..,..
Spain,..,..,..,..,..,..,..
Sri Lanka,338,334,506,..,..,..,..
Sudan,..,..,..,..,..,..,..
Sudan (pre-secession),..,..,..,..,..,..,..
Sweden,..,..,..,..,..,..,..
Switzerland,..,..,..,..,..,..,..
Syrian Arab Republic,..,..,520,..,..,..,..
Tajikistan,37,33,10,28,27,38,..
Thailand,..,..,..,..,..,..,..
Togo,..,6,5,5,4,6,..
Trinidad and Tobago,75,92,101,136,69,..,..
Tunisia,..,..,..,..,..,..,..
Turkey,15260.958,16234.339,..,..,..,..,..
Uganda,..,48,..,..,..,..,..
Ukraine,10252,8908,8168,8974,8650,8226,..
United Arab Emirates,..,..,..,..,..,..,..
United Kingdom of Great Britain and Northern Ireland,..,..,..,..,..,..,..
United Republic of Tanzania,..,..,..,..,..,..,..
United States of America,..,..,..,..,..,..,..
United States Virgin Islands,..,..,..,..,..,..,..
Uruguay,93,96,107,106,106,99,..
Uzbekistan,..,1925,1884,1519,1848,1643,..
Venezuela (Bolivarian Republic of),777,768,495,472,..,..,..
Viet Nam,..,..,..,..,..,..,..
Zambia,..,..,..,..,..,..,..
Zimbabwe,..,..,..,..,..,..,..
