Country,2013,2014,2015,2016,2017,2018,2019
Albania,..,..,..,..,..,..,..
Algeria,..,..,..,..,8447,..,..
American Samoa,..,..,..,..,..,..,..
Angola,..,..,..,85,..,..,..
Argentina,..,..,..,..,..,..,..
Armenia,237,257,154,156,149,131,..
Australia,..,..,..,..,..,..,..
Austria,..,..,..,..,..,..,..
Azerbaijan,1022,1069,1083,1170,1188,970,..
Bahrain,..,189,..,..,..,..,..
Bangladesh,..,..,..,..,..,..,..
Belarus,566,602,626,510,501,563,..
Belgium,..,..,..,..,..,..,..
Benin,..,..,..,..,..,..,..
Bermuda,..,..,..,..,..,..,..
Bolivia (Plurinational State of),103,128,..,..,..,..,..
Bosnia and Herzegovina,18,27,91,98,152,89,..
Botswana,48,..,..,..,..,..,..
Brazil,..,..,..,..,..,..,..
Brunei Darussalam,..,..,..,..,..,43,..
Bulgaria,1375,1795,..,..,..,..,..
Burkina Faso,..,65,..,..,100,..,..
Burundi,..,..,..,..,..,5,..
Cambodia,..,..,30,..,..,..,..
Cameroon,..,..,..,..,..,..,..
Canada,..,..,..,..,..,..,..
Cabo Verde,..,5,..,..,..,..,..
Central African Republic,..,..,..,..,..,..,..
Chad,..,..,..,8,..,..,..
Chile,..,..,..,..,..,..,..
China,..,..,..,..,..,..,..
"China, Hong Kong Special Administrative Region",..,..,..,..,..,..,..
"China, Macao Special Administrative Region",57,70,101,270,296,323,..
Colombia,423,704,788,1020,1020,..,..
Congo,..,..,..,..,..,..,..
Costa Rica,382,307,290,279,197,..,..
C™te d'Ivoire,..,..,..,205,..,..,..
Croatia,1400,1316,..,..,..,..,..
Cuba,..,..,..,..,..,..,..
Cyprus,41,59,..,..,..,..,..
Czechia,3250,3179,..,..,..,..,..
Democratic Republic of the Congo,..,..,17,..,..,..,..
Denmark,..,..,..,..,..,..,..
Ecuador,540,587,..,..,..,..,..
Egypt,16148,20026,20968,22530,22748,24055,..
El Salvador,67,83,91,74,67,..,..
Estonia,368,393,..,..,..,..,..
Eswatini,..,..,60,..,..,..,..
Ethiopia,396,..,..,..,333,..,..
Faeroe Islands,..,..,..,..,..,..,..
Finland,..,..,..,..,..,..,..
France,..,..,..,..,..,..,..
Gabon,..,28,..,..,..,..,..
Gambia,..,..,..,..,..,21,..
Georgia,..,436,592,762,710,904,..
Germany,..,..,..,..,..,..,..
Ghana,..,..,52,..,..,..,..
Greece,..,..,..,..,..,..,..
Greenland,..,..,..,..,..,..,..
Guam,..,..,..,..,..,..,..
Guatemala,63,107,144,116,90,..,..
Guinea,..,..,..,..,..,..,..
Honduras,..,..,..,..,38,..,..
Hungary,1847,2212,..,..,..,..,..
Iceland,..,..,..,..,..,..,..
India,..,..,..,..,..,..,..
Indonesia,..,..,..,..,..,..,..
Iran (Islamic Republic of),8767,..,15154,..,15531,..,..
Iraq,..,296,434,470,930,940,..
Ireland,..,..,..,..,..,..,..
Israel,..,..,..,..,..,..,..
Italy,..,..,..,..,..,..,..
Jamaica,..,..,..,..,..,..,..
Japan,40068,42377,42251,..,..,..,..
Jordan,..,..,..,246,500,..,..
Kazakhstan,742,881,871,881,699,676,..
Kenya,..,..,..,..,..,..,..
Kuwait,214,..,266,292,316,344,..
Kyrgyzstan,..,108,179,168,170,..,..
Lao People's Democratic Republic,..,..,..,..,..,..,..
Latvia,498,..,492,511,543,..,..
Lesotho,..,..,1,..,..,..,..
Libya,..,..,..,..,..,..,..
Lithuania,1157,1334,1203,1446,1407,..,..
Luxembourg,..,..,..,..,..,..,..
Madagascar,..,47,..,70,61,66,..
Malawi,..,..,..,..,..,..,..
Malaysia,..,..,5917,..,..,..,..
Mali,..,..,22,..,28,..,..
Malta,95,102,..,..,..,..,..
Mauritania,..,..,..,8,..,8,..
Mauritius,..,..,..,..,..,38,..
Mexico,..,..,..,..,..,..,..
Monaco,..,..,..,..,..,..,..
Mongolia,122,111,132,101,153,141,..
Montenegro,285,257,272,..,..,..,..
Morocco,..,..,..,2474,..,..,..
Mozambique,..,..,152,..,..,..,..
Myanmar,..,..,..,..,72,..,..
Namibia,..,11,..,..,..,..,..
Nauru,..,..,..,..,..,..,..
Nepal,..,..,..,..,..,..,..
Netherlands,6620.584,6969.525,..,..,..,..,..
New Zealand,..,..,..,..,..,..,..
Nicaragua,..,..,..,..,..,..,..
Niger,19,..,..,..,..,..,..
Nigeria,..,..,..,..,..,..,..
North Macedonia,..,513,598,613,380,323,..
Norway,..,..,..,..,..,..,..
Oman,24,81,88,546,397,868,..
Pakistan,3520,..,4750,..,5548,..,..
Palestine,..,..,..,..,..,..,..
Panama,..,..,..,..,..,..,..
Papua New Guinea,..,..,..,46,..,..,..
Paraguay,..,..,..,223,265,..,..
Peru,..,197,249,..,..,262,..
Philippines,1221.47668,..,712.25,..,..,..,..
Poland,8953,9376,..,..,..,..,..
Portugal,7383.82,7729.2,..,..,..,..,..
Puerto Rico,..,..,..,..,..,..,..
Qatar,..,..,317,..,..,257,..
Republic of Korea,10610,10631,11040,..,..,..,..
Republic of Moldova,240,244,242,224,240,205,..
Romania,1588,1750,..,..,..,..,..
Russian Federation,9735,9326,9430,..,..,..,..
Rwanda,37,..,..,17,..,..,..
Saint Helena,..,..,..,..,..,..,..
Saint Lucia,..,..,..,..,..,..,..
Saint Vincent and the Grenadines,..,..,..,..,..,..,..
Saudi Arabia,..,..,..,..,..,..,..
Senegal,..,..,781,..,..,..,..
Serbia,625,1216,1422,1406,1454,1454,..
Seychelles,..,..,..,13,..,..,..
Singapore,..,..,..,..,..,..,..
Slovakia,1763,1657,..,..,..,..,..
Slovenia,976,..,..,..,..,..,..
South Africa,..,..,..,..,..,..,..
Spain,..,..,..,..,..,..,..
Sri Lanka,484,434,335,..,..,..,..
Sudan,..,..,..,..,..,..,..
Sudan (pre-secession),..,..,..,..,..,..,..
Sweden,..,..,..,..,..,..,..
Switzerland,..,..,..,..,..,..,..
Syrian Arab Republic,..,..,246,..,..,..,..
Tajikistan,253,225,270,303,338,329,..
Thailand,..,..,..,..,..,..,..
Togo,..,10,9,8,11,16,..
Trinidad and Tobago,172,184,182,78,236,..,..
Tunisia,..,..,..,..,..,..,..
Turkey,17391.62,20458.354,..,..,..,..,..
Uganda,..,110,..,..,..,..,..
Ukraine,2728,2643,2520,3093,2455,2587,..
United Arab Emirates,..,..,..,..,..,..,..
United Kingdom of Great Britain and Northern Ireland,..,..,..,..,..,..,..
United Republic of Tanzania,..,..,..,..,..,..,..
United States of America,..,..,..,..,..,..,..
United States Virgin Islands,..,..,..,..,..,..,..
Uruguay,173,165,164,180,174,169,..
Uzbekistan,..,2051,2149,2194,2184,2176,..
Venezuela (Bolivarian Republic of),1397,1453,685,519,..,..,..
Viet Nam,..,..,..,..,..,..,..
Zambia,..,..,..,..,..,..,..
Zimbabwe,..,..,..,..,..,..,..
