Country,2013,2014,2015,2016,2017,2018,2019
Albania,..,..,..,..,..,..,..
Algeria,..,..,..,..,3080,..,..
American Samoa,..,..,..,..,..,..,..
Angola,..,..,..,117,..,..,..
Argentina,..,..,..,..,..,..,..
Armenia,1018,1025,1026,995,953,735,..
Australia,..,..,..,..,..,..,..
Austria,..,..,..,..,..,..,..
Azerbaijan,2789,3056,2937,2862,2916,2960,..
Bahrain,..,45,..,..,..,..,..
Bangladesh,..,..,..,..,..,..,..
Belarus,1727,1638,1644,1648,1683,1747,..
Belgium,..,..,..,..,..,..,..
Benin,..,..,..,..,..,..,..
Bermuda,14,11,11,..,..,14,..
Bolivia (Plurinational State of),169,195,..,..,..,..,..
Bosnia and Herzegovina,90,97,76,164,136,170,..
Botswana,90,..,..,..,..,..,..
Brazil,..,..,..,..,..,..,..
Brunei Darussalam,..,..,..,..,..,33,..
Bulgaria,2048,2120,..,..,..,..,..
Burkina Faso,..,57,..,..,92,..,..
Burundi,..,..,..,..,..,32,..
Cambodia,..,..,28.3,..,..,..,..
Cameroon,..,..,..,..,..,..,..
Canada,..,..,..,..,..,..,..
Cabo Verde,..,10,..,..,..,..,..
Central African Republic,..,..,..,..,..,..,..
Chad,..,..,..,27,..,..,..
Chile,..,..,..,..,..,..,..
China,..,..,..,..,..,..,..
"China, Hong Kong Special Administrative Region",..,..,..,..,..,..,..
"China, Macao Special Administrative Region",18,20,20,65,78,83,..
Colombia,634,755,862,1028,1028,..,..
Congo,..,..,..,..,..,..,..
Costa Rica,303,277,370,353,426,..,..
C™te d'Ivoire,..,..,..,96,..,..,..
Croatia,936,875,..,..,..,..,..
Cuba,..,..,..,..,..,..,..
Cyprus,225,214,..,..,..,..,..
Czechia,3943,4143,..,..,..,..,..
Democratic Republic of the Congo,..,..,34,..,..,..,..
Denmark,..,..,..,..,..,..,..
Ecuador,767,723,..,..,..,..,..
Egypt,3644,5839,6519,7020,7122,7780,..
El Salvador,92,102,71,40,75,..,..
Estonia,706,716,..,..,..,..,..
Eswatini,..,..,8,..,..,..,..
Ethiopia,153,..,..,..,326,..,..
Faeroe Islands,..,..,..,..,..,..,..
Finland,..,..,..,..,..,..,..
France,..,..,..,..,..,..,..
Gabon,..,58,..,..,..,..,..
Gambia,..,..,..,..,..,6,..
Georgia,..,756,895,909,922,1037,..
Germany,..,..,..,..,..,..,..
Ghana,..,..,75,..,..,..,..
Greece,..,..,..,..,..,..,..
Greenland,..,..,..,..,..,..,..
Guam,..,..,..,..,..,..,..
Guatemala,48,26,33,41,30,..,..
Guinea,..,..,..,..,..,..,..
Honduras,..,..,..,..,36,..,..
Hungary,2483,2626,..,..,..,..,..
Iceland,..,..,..,..,..,..,..
India,..,..,..,..,..,..,..
Indonesia,..,..,..,..,..,..,..
Iran (Islamic Republic of),6044,..,8484,..,13037,..,..
Iraq,..,416,615,868,999,1079,..
Ireland,..,..,..,..,..,..,..
Israel,..,..,..,..,..,..,..
Italy,..,..,..,..,..,..,..
Jamaica,..,..,..,..,..,..,..
Japan,20500,21575,22965,..,..,..,..
Jordan,..,..,..,197,226,..,..
Kazakhstan,2641,2987,2846,2707,2619,2821,..
Kenya,..,..,..,..,..,..,..
Kuwait,241,..,441,513,611,625,..
Kyrgyzstan,..,388,401,521,487,..,..
Lao People's Democratic Republic,..,..,..,..,..,..,..
Latvia,763,..,836,697,707,..,..
Lesotho,..,..,23,..,..,..,..
Libya,..,..,..,..,..,..,..
Lithuania,1536,1378,1388,1412,1643,..,..
Luxembourg,..,..,..,..,..,..,..
Madagascar,..,188,..,200,202,243,..
Malawi,..,..,..,..,..,..,..
Malaysia,..,..,11464,..,..,..,..
Mali,..,..,10,..,24,..,..
Malta,96,76,..,..,..,..,..
Mauritania,..,..,..,152,..,148,..
Mauritius,..,..,..,..,..,85,..
Mexico,..,..,..,..,..,..,..
Monaco,..,..,..,..,..,..,..
Mongolia,349,354,339,359,380,332,..
Montenegro,63,80,122,..,..,..,..
Morocco,..,..,..,..,..,..,..
Mozambique,..,..,145,..,..,..,..
Myanmar,..,..,..,..,152,..,..
Namibia,..,51,..,..,..,..,..
Nauru,..,..,..,..,..,..,..
Nepal,..,..,..,..,..,..,..
Netherlands,4466.598,4374.173,..,..,..,..,..
New Zealand,..,..,..,..,..,..,..
Nicaragua,..,..,..,..,..,..,..
Niger,36,..,..,..,..,..,..
Nigeria,..,..,..,..,..,..,..
North Macedonia,..,95,151,48,377,432,..
Norway,..,..,..,..,..,..,..
Oman,25,68,90,75,64,88,..
Pakistan,4794,..,8856,..,16518,..,..
Palestine,..,..,..,..,..,..,..
Panama,..,..,..,..,..,..,..
Papua New Guinea,..,..,..,65,..,..,..
Paraguay,..,..,..,145,152,..,..
Peru,..,215,280,..,..,170,..
Philippines,1580.08229,..,1571.5,..,..,..,..
Poland,6570,6885,..,..,..,..,..
Portugal,7281.32,7114.56,..,..,..,..,..
Puerto Rico,..,..,..,..,..,..,..
Qatar,..,..,70,..,..,83,..
Republic of Korea,14122,15131,16413,..,..,..,..
Republic of Moldova,534,564,573,576,554,542,..
Romania,2407,1797,..,..,..,..,..
Russian Federation,35482,36629,36270,..,..,..,..
Rwanda,8,..,..,13,..,..,..
Saint Helena,..,..,..,..,..,..,..
Saint Lucia,..,..,..,..,..,..,..
Saint Vincent and the Grenadines,..,..,..,..,..,..,..
Saudi Arabia,..,..,..,..,..,..,..
Senegal,..,..,700,..,..,..,..
Serbia,1707,1763,2061,2016,2062,2135,..
Seychelles,..,..,..,19,..,..,..
Singapore,..,..,..,..,..,..,..
Slovakia,1791,1793,..,..,..,..,..
Slovenia,1130,..,..,..,..,..,..
South Africa,..,..,..,..,..,..,..
Spain,..,..,..,..,..,..,..
Sri Lanka,529,736,904,..,..,..,..
Sudan,..,..,..,..,..,..,..
Sudan (pre-secession),..,..,..,..,..,..,..
Sweden,..,..,..,..,..,..,..
Switzerland,..,..,..,..,..,..,..
Syrian Arab Republic,..,..,310,..,..,..,..
Tajikistan,154,190,181,224,156,196,..
Thailand,..,..,..,..,..,..,..
Togo,..,12,10,10,11,15,..
Trinidad and Tobago,132,142,153,182,167,..,..
Tunisia,..,..,..,..,..,..,..
Turkey,6021.414,6412.217,..,..,..,..,..
Uganda,..,53,..,..,..,..,..
Ukraine,7340,6369,5948,8014,7337,7013,..
United Arab Emirates,..,..,..,..,..,..,..
United Kingdom of Great Britain and Northern Ireland,..,..,..,..,..,..,..
United Republic of Tanzania,..,..,..,..,..,..,..
United States of America,..,..,..,..,..,..,..
United States Virgin Islands,..,..,..,..,..,..,..
Uruguay,392,406,424,439,460,427,..
Uzbekistan,..,2484,2554,2856,2506,3157,..
Venezuela (Bolivarian Republic of),601,635,1235,1286,..,..,..
Viet Nam,..,..,..,..,..,..,..
Zambia,..,..,..,..,..,..,..
Zimbabwe,..,..,..,..,..,..,..
