Country,2013,2014,2015,2016,2017,2018,2019
Albania,..,..,..,..,..,..,..
Algeria,..,..,..,..,23678,..,..
American Samoa,..,..,..,..,..,..,..
Angola,..,..,..,263,..,..,..
Argentina,..,..,..,..,..,..,..
Armenia,1468,1496,1397,1372,1345,1158,..
Australia,..,..,..,..,..,..,..
Austria,..,..,..,..,..,..,..
Azerbaijan,5395,5673,5500,5357,5422,5218,..
Bahrain,..,330,..,..,..,..,..
Bangladesh,..,..,..,..,..,..,..
Belarus,6455,6175,5848,5743,5727,5906,..
Belgium,..,..,..,..,..,..,..
Benin,..,..,..,..,..,..,..
Bermuda,14,11,11,..,..,14,..
Bolivia (Plurinational State of),386,454,..,..,..,..,..
Bosnia and Herzegovina,333,350,619,658,702,558,..
Botswana,209,..,..,..,..,..,..
Brazil,..,..,..,..,..,..,..
Brunei Darussalam,..,..,..,..,..,109,..
Bulgaria,5681,6288,..,..,..,..,..
Burkina Faso,..,151,..,..,229,..,..
Burundi,..,..,..,..,..,55,..
Cambodia,..,..,109.3,..,..,..,..
Cameroon,..,..,..,..,..,..,..
Canada,..,..,..,..,..,..,..
Cabo Verde,..,31,..,..,..,..,..
Central African Republic,..,..,..,..,..,..,..
Chad,..,..,..,51,..,..,..
Chile,..,..,..,..,..,..,..
China,..,..,..,..,..,..,..
"China, Hong Kong Special Administrative Region",..,..,..,..,..,..,..
"China, Macao Special Administrative Region",105,126,151,391,427,492,..
Colombia,1477,1925,2246,2895,2895,..,..
Congo,..,..,..,..,..,..,..
Costa Rica,1092,980,1052,971,907,..,..
C™te d'Ivoire,..,..,..,364,..,..,..
Croatia,3819,3670,..,..,..,..,..
Cuba,..,..,..,..,..,..,..
Cyprus,430,435,..,..,..,..,..
Czechia,10867,11140,..,..,..,..,..
Democratic Republic of the Congo,..,..,82,..,..,..,..
Denmark,..,..,..,..,..,..,..
Ecuador,2167,2501,..,..,..,..,..
Egypt,22481,35105,37219,39901,40346,42396,..
El Salvador,193,226,245,173,197,..,..
Estonia,1495,1516,..,..,..,..,..
Eswatini,..,..,92,..,..,..,..
Ethiopia,794,..,..,..,1362,..,..
Faeroe Islands,..,..,..,..,..,..,..
Finland,..,..,..,..,..,..,..
France,..,..,..,..,..,..,..
Gabon,..,107,..,..,..,..,..
Gambia,..,..,..,..,..,33,..
Georgia,..,1892,2117,2296,2427,2895,..
Germany,..,..,..,..,..,..,..
Ghana,..,..,480,..,..,..,..
Greece,..,..,..,..,..,..,..
Greenland,..,..,..,..,..,..,..
Guam,..,..,..,..,..,..,..
Guatemala,174,206,252,234,167,..,..
Guinea,..,..,..,..,..,..,..
Honduras,..,..,..,..,145,..,..
Hungary,7572,7870,..,..,..,..,..
Iceland,..,..,..,..,..,..,..
India,..,..,..,..,..,..,..
Indonesia,..,..,..,..,..,..,..
Iran (Islamic Republic of),21360,..,32623,..,46780,..,..
Iraq,..,1193,1721,2211,2946,3151,..
Ireland,..,..,..,..,..,..,..
Israel,..,..,..,..,..,..,..
Italy,..,..,..,..,..,..,..
Jamaica,..,..,..,..,..,..,..
Japan,91661,96654,97965,..,..,..,..
Jordan,..,..,..,920,1242,..,..
Kazakhstan,6550,7143,7111,6646,6467,6504,..
Kenya,..,..,..,..,..,..,..
Kuwait,707,..,1020,1198,1422,1545,..
Kyrgyzstan,..,822,815,992,948,..,..
Lao People's Democratic Republic,..,..,..,..,..,..,..
Latvia,2016,..,2159,2292,2316,..,..
