Country,2013,2014,2015,2016,2017,2018,2019
Albania,..,..,..,..,..,..,..
Algeria,..,..,..,..,14004,..,..
American Samoa,..,..,..,..,..,..,..
Angola,..,..,..,167,..,..,..
Argentina,10219,10642,8454,8572,9411,..,..
Armenia,384,414,204,217,227,201,..
Australia,..,..,..,..,..,..,..
Austria,..,..,..,..,..,..,..
Azerbaijan,1754,2049,2054,2152,2130,1941,..
Bahrain,..,363,..,..,..,..,..
Bangladesh,..,..,..,..,..,..,..
Belarus,876,957,1031,811,783,828,..
Belgium,..,..,..,..,..,..,..
Benin,..,..,..,..,..,..,..
Bermuda,..,..,..,..,..,..,..
Bolivia (Plurinational State of),200,257,..,..,..,..,..
Bosnia and Herzegovina,31,59,126,158,241,142,..
Botswana,100,..,..,..,..,..,..
Brazil,..,..,..,..,..,..,..
Brunei Darussalam,..,..,..,..,..,65,..
Bulgaria,2414,2963,..,..,..,..,..
Burkina Faso,..,325,..,..,543,..,..
Burundi,..,..,..,..,..,23,..
Cambodia,..,..,95,..,..,..,..
Cameroon,..,..,..,..,..,..,..
Canada,..,..,..,..,..,..,..
Cabo Verde,..,7,..,..,..,..,..
Central African Republic,..,..,..,..,..,..,..
Chad,..,..,..,146,..,..,..
Chile,..,..,..,..,..,..,..
China,..,..,..,..,..,..,..
"China, Hong Kong Special Administrative Region",..,..,..,..,..,..,..
"China, Macao Special Administrative Region",154,191,270,644,668,750,..
Colombia,896,1458,1671,2097,2097,..,..
Congo,..,..,..,..,..,..,..
Costa Rica,683,596,501,486,356,..,..
C™te d'Ivoire,..,..,..,876,..,..,..
Croatia,2410,2202,..,..,..,..,..
Cuba,..,..,..,..,..,..,..
Cyprus,93,139,..,..,..,..,..
Czechia,6585,6537,..,..,..,..,..
Democratic Republic of the Congo,..,..,113,..,..,..,..
Denmark,..,..,..,..,..,..,..
Ecuador,1154,1313,..,..,..,..,..
Egypt,35176,43912,44266,46763,46509,49239,..
El Salvador,103,129,131,124,106,..,..
Estonia,571,624,609,..,..,..,..
Eswatini,..,..,95,..,..,..,..
Ethiopia,1519,..,..,..,2481,..,..
Faeroe Islands,..,..,..,..,..,..,..
Finland,..,..,..,..,..,..,..
France,..,..,..,..,..,..,..
Gabon,..,55,..,..,..,..,..
Gambia,..,..,..,..,..,73,..
Georgia,..,764,970,1227,1147,1435,..
Germany,..,..,..,..,..,..,..
Ghana,..,..,463,..,..,..,..
Greece,..,..,..,..,..,..,..
Greenland,..,..,..,..,..,..,..
Guam,..,..,..,..,..,..,..
Guatemala,84,168,201,170,125,..,..
Guinea,..,..,..,..,..,..,..
Honduras,..,..,..,..,83,..,..
Hungary,3873,4485,..,..,..,..,..
Iceland,..,..,..,..,..,..,..
India,..,..,..,..,..,..,..
Indonesia,..,..,..,..,..,..,..
Iran (Islamic Republic of),22124,..,32126,..,33106,..,..
Iraq,..,572,936,978,2040,2066,..
Ireland,..,..,..,..,..,..,..
Israel,..,..,..,..,..,..,..
Italy,..,..,..,..,..,..,..
Jamaica,..,..,..,..,..,..,..
Japan,130022,134827,132426,..,..,..,..
Jordan,..,..,..,1004,1346,..,..
Kazakhstan,1068,1426,1316,1334,1051,1036,..
Kenya,..,..,..,..,..,..,..
Kuwait,477,700,515,554,575,597,..
Kyrgyzstan,303,261,379,372,346,..,..
Lao People's Democratic Republic,..,..,..,..,..,..,..
Latvia,781,730,803,771,807,..,..
Lesotho,..,..,3,..,..,..,..
Libya,..,..,..,..,..,..,..
Lithuania,2020,2180,1937,2293,2198,..,..
Luxembourg,..,..,..,..,..,..,..
Madagascar,..,164,..,192,189,191,..
Malawi,..,..,..,..,..,..,..
Malaysia,..,..,11755,..,..,..,..
Mali,..,..,70,..,81,..,..
Malta,200,207,..,..,..,..,..
Mauritania,..,..,..,88,..,93,..
Mauritius,..,..,..,..,..,60,..
Mexico,..,..,..,..,..,..,..
Monaco,..,..,..,..,..,..,..
Mongolia,190,169,223,140,222,246,..
Montenegro,469,427,483,..,..,..,..
Morocco,..,..,..,6128,..,..,..
Mozambique,..,..,284,..,..,..,..
Myanmar,..,..,..,..,100,..,..
Namibia,..,21,..,..,..,..,..
Nauru,..,..,..,..,..,..,..
Nepal,..,..,..,..,..,..,..
Netherlands,16131,16495,..,..,..,..,..
New Zealand,..,..,..,..,..,..,..
Nicaragua,..,..,..,..,..,..,..
Niger,90,..,..,..,..,..,..
Nigeria,..,..,..,..,..,..,..
North Macedonia,..,845,958,955,570,440,..
Norway,..,..,..,..,..,..,..
Oman,80,159,178,976,854,1586,..
Pakistan,9506,..,10572,..,11257,..,..
Palestine,265,..,..,..,..,..,..
Panama,..,..,..,..,..,..,..
Papua New Guinea,..,..,..,132,..,..,..
Paraguay,..,356,400,299,364,..,..
Peru,..,441,536,..,..,745,..
Philippines,1895.9363,..,1112.25,..,..,..,..
Poland,15727,16434,..,..,..,..,..
Portugal,12119,12867,..,..,..,..,..
Puerto Rico,..,..,..,..,..,..,..
Qatar,..,..,793,..,..,576,..
Republic of Korea,23292,23522,24066,..,..,..,..
Republic of Moldova,457,453,442,414,428,369,..
Romania,2621,2736,..,..,..,..,..
Russian Federation,16352,15714,15819,..,..,..,..
Rwanda,89,..,..,79,..,..,..
Saint Helena,..,..,..,..,..,..,..
Saint Lucia,..,..,..,..,..,..,..
Saint Vincent and the Grenadines,..,..,..,..,..,..,..
Saudi Arabia,..,..,..,..,..,..,..
Senegal,..,..,2129,..,..,..,..
Serbia,1243,2041,2388,2350,2419,2483,..
Seychelles,..,..,..,17,..,..,..
Singapore,6575,7086,..,..,..,..,..
Slovakia,3013,2973,..,..,..,..,..
Slovenia,1779,..,..,..,..,..,..
South Africa,..,..,..,..,..,..,..
Spain,..,..,..,..,..,..,..
Sri Lanka,978,793,776,..,..,..,..
Sudan,..,..,..,..,..,..,..
Sudan (pre-secession),..,..,..,..,..,..,..
Sweden,..,..,..,..,..,..,..
Switzerland,..,..,..,..,..,..,..
Syrian Arab Republic,..,..,929,..,..,..,..
Tajikistan,374,355,393,494,524,536,..
Thailand,..,11337,11879,17701,14585,..,..
Togo,..,133,128,118,158,149,..
Trinidad and Tobago,261,279,276,187,394,..,..
Tunisia,..,..,..,..,..,..,..
Turkey,36755,42877,..,..,..,..,..
Uganda,..,358,..,..,..,..,..
Ukraine,4200,4022,3825,4845,3759,3966,..
United Arab Emirates,..,..,..,..,..,..,..
United Kingdom of Great Britain and Northern Ireland,..,..,..,..,..,..,..
United Republic of Tanzania,..,..,..,..,..,..,..
United States of America,..,..,..,..,..,..,..
United States Virgin Islands,..,..,..,..,..,..,..
Uruguay,309,290,292,328,324,316,..
Uzbekistan,..,3691,3790,3871,3898,4004,..
Venezuela (Bolivarian Republic of),1925,2011,948,718,..,..,..
Viet Nam,12601,..,13361.915,..,16730,..,..
Zambia,..,..,..,..,..,..,..
Zimbabwe,..,..,..,..,..,..,..
