Country,2013,2014,2015,2016,2017,2018,2019
Albania,..,..,..,..,..,..,..
Algeria,..,..,..,..,4293,..,..
American Samoa,..,..,..,..,..,..,..
Angola,..,..,..,361,..,..,..
Argentina,20610,20903,21727,23043,20055,..,..
Armenia,2194,2114,2040,2012,1946,1580,..
Australia,..,..,..,..,..,..,..
Austria,..,..,..,..,..,..,..
Azerbaijan,5174,5557,5243,4917,4957,4820,..
Bahrain,..,138,..,..,..,..,..
Bangladesh,..,..,..,..,..,..,..
Belarus,3411,3335,3444,3397,3469,3573,..
Belgium,..,..,..,..,..,..,..
Benin,..,..,..,..,..,..,..
Bermuda,31,31,31,..,..,37,..
Bolivia (Plurinational State of),277,280,..,..,..,..,..
Bosnia and Herzegovina,206,176,148,295,242,349,..
Botswana,304,..,..,..,..,..,..
Brazil,..,..,..,..,..,..,..
Brunei Darussalam,..,..,..,..,..,81,..
Bulgaria,3859,3825,..,..,..,..,..
Burkina Faso,..,381,..,..,528,..,..
Burundi,..,..,..,..,..,221,..
Cambodia,..,..,123.3,..,..,..,..
Cameroon,..,..,..,..,..,..,..
Canada,..,..,..,..,..,..,..
Cabo Verde,..,19,..,..,..,..,..
Central African Republic,..,..,..,..,..,..,..
Chad,..,..,..,310,..,..,..
Chile,..,..,..,..,..,..,..
China,..,..,..,..,..,..,..
"China, Hong Kong Special Administrative Region",..,..,..,..,..,..,..
"China, Macao Special Administrative Region",116,127,132,249,307,377,..
Colombia,2056,2293,2621,2998,2998,..,..
Congo,..,..,..,..,..,..,..
Costa Rica,879,845,951,924,1034,..,..
C™te d'Ivoire,..,..,..,625,..,..,..
Croatia,1895,1707,..,..,..,..,..
Cuba,..,..,..,..,..,..,..
Cyprus,609,583,..,..,..,..,..
Czechia,14572,16114,..,..,..,..,..
Democratic Republic of the Congo,..,..,415,..,..,..,..
Denmark,..,..,..,..,..,..,..
Ecuador,1869,2039,..,..,..,..,..
Egypt,8946,14597,16127,17124,16832,19156,..
El Salvador,260,291,156,97,163,..,..
Estonia,1848,1821,1665,..,..,..,..
Eswatini,..,..,72,..,..,..,..
Ethiopia,1257,..,..,..,2304,..,..
Faeroe Islands,..,..,..,..,..,..,..
Finland,..,..,..,..,..,..,..
France,..,..,..,..,..,..,..
Gabon,..,197,..,..,..,..,..
Gambia,..,..,..,..,..,16,..
Georgia,..,1609,1800,1895,1971,2224,..
Germany,..,..,..,..,..,..,..
Ghana,..,..,808,..,..,..,..
Greece,..,..,..,..,..,..,..
Greenland,..,..,..,..,..,..,..
Guam,..,..,..,..,..,..,..
Guatemala,115,46,80,91,68,..,..
Guinea,..,..,..,..,..,..,..
Honduras,..,..,..,..,82,..,..
Hungary,10781,11150,..,..,..,..,..
Iceland,..,..,..,..,..,..,..
India,..,..,..,..,..,..,..
Indonesia,..,..,..,..,..,..,..
Iran (Islamic Republic of),17325,..,21853,..,30352,..,..
Iraq,..,867,1238,1717,2195,2376,..
Ireland,..,..,..,..,..,..,..
Israel,..,..,..,..,..,..,..
Italy,..,..,..,..,..,..,..
Jamaica,..,..,..,..,..,..,..
Japan,163009,171347,168783,..,..,..,..
Jordan,..,..,..,1160,1273,..,..
Kazakhstan,5091,5729,5481,5207,4983,5281,..
Kenya,..,..,..,..,..,..,..
Kuwait,577,824,814,940,1061,1068,..
Kyrgyzstan,738,820,794,1117,1085,..,..
Lao People's Democratic Republic,..,..,..,..,..,..,..
Latvia,1613,1726,1813,1421,1486,..,..
Lesotho,..,..,58,..,..,..,..
Libya,..,..,..,..,..,..,..
Lithuania,3333,3094,3106,3097,3420,..,..
Luxembourg,..,..,..,..,..,..,..
Madagascar,..,557,..,611,642,744,..
Malawi,..,..,..,..,..,..,..
Malaysia,..,..,24006,..,..,..,..
Mali,..,..,85,..,108,..,..
Malta,340,332,..,..,..,..,..
Mauritania,..,..,..,600,..,609,..
Mauritius,..,..,..,..,..,231,..
Mexico,..,..,..,..,..,..,..
Monaco,..,..,..,..,..,..,..
Mongolia,716,727,698,734,626,602,..
Montenegro,134,145,245,..,..,..,..
Morocco,..,..,..,..,..,..,..
Mozambique,..,..,538,..,..,..,..
Myanmar,..,..,..,..,209,..,..
Namibia,..,184,..,..,..,..,..
Nauru,..,..,..,..,..,..,..
Nepal,..,..,..,..,..,..,..
Netherlands,21428,21854,..,..,..,..,..
New Zealand,..,..,..,..,..,..,..
Nicaragua,..,..,..,..,..,..,..
Niger,319,..,..,..,..,..,..
Nigeria,..,..,..,..,..,..,..
North Macedonia,..,246,386,99,677,758,..
Norway,..,..,..,..,..,..,..
Oman,192,282,345,317,275,378,..
Pakistan,14186,..,22309,..,37351,..,..
Palestine,750,..,..,..,..,..,..
Panama,..,..,..,..,..,..,..
Papua New Guinea,..,..,..,174,..,..,..
Paraguay,..,255,311,275,299,..,..
Peru,..,649,819,..,..,698,..
Philippines,2865.75465,..,2909.75,..,..,..,..
Poland,18606,20064,..,..,..,..,..
Portugal,15995,15576,..,..,..,..,..
Puerto Rico,..,..,..,..,..,..,..
Qatar,..,..,312,..,..,270,..
Republic of Korea,51494,54772,57976,..,..,..,..
Republic of Moldova,1168,1196,1165,1142,1117,1083,..
Romania,4986,4032,..,..,..,..,..
Russian Federation,85588,88370,86722,..,..,..,..
Rwanda,66,..,..,72,..,..,..
Saint Helena,..,..,..,..,..,..,..
Saint Lucia,..,..,..,..,..,..,..
Saint Vincent and the Grenadines,..,..,..,..,..,..,..
Saudi Arabia,..,..,..,..,..,..,..
Senegal,..,..,3024,..,..,..,..
Serbia,3030,3279,4035,4110,3977,3676,..
Seychelles,..,..,..,41,..,..,..
Singapore,6281,6126,..,..,..,..,..
Slovakia,4046,4154,..,..,..,..,..
Slovenia,3028,..,..,..,..,..,..
South Africa,..,..,..,..,..,..,..
Spain,..,..,..,..,..,..,..
Sri Lanka,1399,1627,1897,..,..,..,..
Sudan,..,..,..,..,..,..,..
Sudan (pre-secession),..,..,..,..,..,..,..
Sweden,..,..,..,..,..,..,..
Switzerland,..,..,..,..,..,..,..
Syrian Arab Republic,..,..,1025,..,..,..,..
Tajikistan,509,560,612,641,539,541,..
Thailand,..,7779,11099,10896,11435,..,..
Togo,..,139,135,120,124,158,..
Trinidad and Tobago,281,291,268,364,320,..,..
Tunisia,..,..,..,..,..,..,..
Turkey,16710,17091,..,..,..,..,..
Uganda,..,212,..,..,..,..,..
Ukraine,16512,14634,13863,18461,16593,16301,..
United Arab Emirates,..,..,..,..,..,..,..
United Kingdom of Great Britain and Northern Ireland,..,..,..,..,..,..,..
United Republic of Tanzania,..,..,..,..,..,..,..
United States of America,..,..,..,..,..,..,..
United States Virgin Islands,..,..,..,..,..,..,..
Uruguay,811,829,848,868,909,861,..
Uzbekistan,..,7270,7534,8391,7800,8959,..
Venezuela (Bolivarian Republic of),1333,1374,2199,2294,..,..,..
Viet Nam,14342,..,13578.597,..,14142,..,..
Zambia,..,..,..,..,..,..,..
Zimbabwe,..,..,..,..,..,..,..
