Country,2013,2014,2015,2016,2017,2018,2019
Albania,..,..,..,..,..,..,..
Algeria,..,..,..,..,46275,..,..
American Samoa,..,..,..,..,..,..,..
Angola,..,..,..,794,..,..,..
Argentina,52408,53256,50636,51949,49512,..,..
Armenia,3169,3122,2840,2829,2812,2449,..
Australia,..,..,..,..,..,..,..
Austria,..,..,..,..,..,..,..
Azerbaijan,10517,11144,10607,9744,9748,9389,..
Bahrain,..,826,..,..,..,..,..
Bangladesh,..,..,..,..,..,..,..
Belarus,16539,15709,15262,15246,15319,15997,..
Belgium,..,..,..,..,..,..,..
Benin,..,..,..,..,..,..,..
Bermuda,31,31,34,..,..,37,..
Bolivia (Plurinational State of),1083,1194,..,..,..,..,..
Bosnia and Herzegovina,919,895,1397,1430,1597,1263,..
Botswana,719,..,..,..,..,..,..
Brazil,..,..,..,..,..,..,..
Brunei Darussalam,..,..,..,..,..,260,..
Bulgaria,12005,13472,..,..,..,..,..
Burkina Faso,..,1050,..,..,1349,..,..
Burundi,..,..,..,..,..,398,..
Cambodia,..,..,506.6,..,..,..,..
Cameroon,..,..,..,..,..,..,..
Canada,..,..,..,..,..,..,..
Cabo Verde,..,84,..,..,..,..,..
Central African Republic,..,..,..,..,..,..,..
Chad,..,..,..,1257,..,..,..
Chile,..,..,..,..,..,..,..
China,..,..,..,..,..,..,..
"China, Hong Kong Special Administrative Region",..,..,..,..,..,..,..
"China, Macao Special Administrative Region",428,524,587,1204,1286,1577,..
Colombia,4712,5731,6721,8263,8263,..,..
Congo,..,..,..,..,..,..,..
Costa Rica,2882,2793,2852,2609,2362,..,..
C™te d'Ivoire,..,..,..,2110,..,..,..
Croatia,8493,7954,..,..,..,..,..
Cuba,..,..,..,..,..,..,..
Cyprus,1286,1301,..,..,..,..,..
Czechia,42783,45681,..,..,..,..,..
Democratic Republic of the Congo,..,..,874,..,..,..,..
Denmark,..,..,..,..,..,..,..
Ecuador,5783,6724,..,..,..,..,..
Egypt,56667,90537,92404,96930,96386,100517,..
El Salvador,524,623,641,504,541,..,..
Estonia,3563,3600,3427,..,..,..,..
Eswatini,..,..,249,..,..,..,..
Ethiopia,6043,..,..,..,10716,..,..
Faeroe Islands,..,..,..,..,..,..,..
Finland,..,..,..,..,..,..,..
France,..,..,..,..,..,..,..
Gabon,..,383,..,..,..,..,..
Gambia,..,..,..,..,..,123,..
Georgia,..,4055,4811,4933,5145,6016,..
Germany,..,..,..,..,..,..,..
Ghana,..,..,3383,..,..,..,..
Greece,..,..,..,..,..,..,..
Greenland,..,..,..,..,..,..,..
Guam,..,..,..,..,..,..,..
Guatemala,403,447,488,537,387,..,..
Guinea,..,..,..,..,..,..,..
Honduras,..,..,..,..,428,..,..
Hungary,29363,30448,..,..,..,..,..
Iceland,..,..,..,..,..,..,..
India,..,..,..,..,..,..,..
Indonesia,..,..,..,..,..,..,..
Iran (Islamic Republic of),74670,..,96533,..,151542,..,..
Iraq,..,3069,4331,5339,7703,8192,..
Ireland,..,..,..,..,..,..,..
Israel,..,..,..,..,..,..,..
Italy,..,..,..,..,..,..,..
Jamaica,..,..,..,..,..,..,..
Japan,759282,792777,771784,..,..,..,..
Jordan,..,..,..,4961,5580,..,..
Kazakhstan,13305,14639,14459,13291,13015,12949,..
Kenya,..,..,..,..,..,..,..
Kuwait,1800,2667,2087,2415,2762,2895,..
Kyrgyzstan,1759,1874,1857,2232,2222,..,..
Lao People's Democratic Republic,..,..,..,..,..,..,..
Latvia,4274,4339,4575,4659,4751,..,..
Lesotho,..,..,113,..,..,..,..
Libya,..,..,..,..,..,..,..
Lithuania,8360,8284,7958,8622,8815,..,..
Luxembourg,..,..,..,..,..,..,..
Madagascar,..,1247,..,1319,1456,1577,..
Malawi,..,..,..,..,..,..,..
Malaysia,..,..,73566,..,..,..,..
Mali,..,..,566,..,376,..,..
Malta,949,932,..,..,..,..,..
Mauritania,..,..,..,769,..,786,..
Mauritius,..,..,..,..,..,677,..
Mexico,..,..,..,..,..,..,..
Monaco,..,..,..,..,..,..,..
Mongolia,1454,1454,1410,1291,1273,1313,..
Montenegro,1027,1072,1162,..,..,..,..
Morocco,..,..,..,26960,..,..,..
Mozambique,..,..,1563,..,..,..,..
Myanmar,..,..,..,..,1551,..,..
Namibia,..,342,..,..,..,..,..
Nauru,..,..,..,..,..,..,..
Nepal,..,..,..,..,..,..,..
Netherlands,95707,97474,..,..,..,..,..
New Zealand,..,..,..,..,..,..,..
Nicaragua,..,..,..,..,..,..,..
Niger,599,..,..,..,..,..,..
