Country,2013,2014,2015,2016,2017,2018,2019
Albania,..,..,..,..,..,..,..
Algeria,..,..,..,..,47.14272,..,..
American Samoa,..,..,..,..,..,..,..
Angola,..,..,..,28.71429,..,..,..
Argentina,52.48325,53.12717,52.50498,53.10644,54.0714,..,..
Armenia,48.13953,53.74035,52.46369,52.0641,52.06243,50.38416,..
Australia,..,..,..,..,..,..,..
Austria,29.59495,..,29.49354,..,30.0593,..,..
Azerbaijan,53.33882,54.26945,54.83671,57.05557,59.04154,58.56925,..
Bahrain,..,38.97436,..,..,..,..,..
Bangladesh,..,..,..,..,..,..,..
Belarus,41.05596,41.19272,40.48251,39.61135,39.7039,39.26084,..
Belgium,33.39993,..,34.11795,..,34.82445,..,..
Benin,..,..,..,..,..,..,..
Bermuda,45.16129,35.48387,32.35294,..,..,37.83784,..
Bolivia (Plurinational State of),37.75791,37.57726,..,..,..,..,..
Bosnia and Herzegovina,38.8755,44.29274,44.40735,47.11637,46.82373,47.10035,..
Botswana,29.60526,..,..,..,..,..,..
Brazil,..,..,..,..,..,..,..
Brunei Darussalam,..,..,..,..,..,45.15539,..
Bulgaria,49.69866,49.47457,47.92636,49.10109,47.37495,..,..
Burkina Faso,..,15.24116,..,..,17.02439,..,..
Burundi,..,..,..,..,..,14.30894,..
Cambodia,..,..,23.67758,..,..,..,..
Cameroon,..,..,..,..,..,..,..
Canada,..,..,..,..,..,..,..
Cabo Verde,..,45.75163,..,..,..,..,..
Central African Republic,..,..,..,..,..,..,..
Chad,..,..,..,4.77597,..,3.35126,..
Chile,34.32599,31.47575,33.01639,33.06966,34.42991,..,..
China,..,..,..,..,..,..,..
"China, Hong Kong Special Administrative Region",..,..,..,..,..,..,..
"China, Macao Special Administrative Region",34.5045,32.63234,33.70853,39.21649,39.08336,38.67478,..
Colombia,33.89484,35.42498,35.44884,37.36923,37.36923,..,..
Congo,..,..,..,..,..,..,..
Costa Rica,43.78558,44.278,42.14759,42.80566,44.34011,..,..
Cote d'Ivoire,..,..,..,16.98553,..,..,..
Croatia,47.75251,48.90919,48.91334,47.74149,48.41698,..,..
Cuba,47.06506,48.17451,51.54425,48.04796,48.99971,49.00777,..
Cyprus,38.33034,38.17006,37.94243,37.28191,38.05685,..,..
Czechia,28.25247,27.1861,26.94514,26.65003,26.76882,26.56457,..
Democratic Republic of the Congo,..,..,8.70229,..,..,..,..
