Country,2013,2014,2015,2016,2017,2018,2019
Albania,..,..,..,..,..,..,..
Algeria,..,..,..,..,51.77239,..,..
American Samoa,..,..,..,..,..,..,..
Angola,..,..,..,25,..,..,..
Argentina,..,..,..,..,..,..,..
Armenia,66.66667,76.08696,52.32558,50.74627,66.27907,59.375,..
Australia,..,..,..,..,..,..,..
Austria,..,..,..,..,..,..,..
Azerbaijan,38.51287,39.1494,39.72912,39.16084,41.22042,42.80702,..
Bahrain,..,..,..,..,..,..,..
Bangladesh,..,..,..,..,..,..,..
Belarus,60.07569,59.77597,62.69745,58.81753,58.1,57.39958,..
Belgium,..,..,..,..,..,..,..
Benin,..,..,..,..,..,..,..
Bermuda,..,..,..,..,..,..,..
Bolivia (Plurinational State of),21.31783,21.18056,..,..,..,..,..
Bosnia and Herzegovina,42.69663,40,46.84211,46.47059,45.0495,47.61905,..
Botswana,29.7619,..,..,..,..,..,..
Brazil,..,..,..,..,..,..,..
Brunei Darussalam,..,..,..,..,..,33.33333,..
Bulgaria,54.35459,55.85366,..,..,..,..,..
Burkina Faso,..,8.74126,..,..,12.07729,..,..
Burundi,..,..,..,..,..,12.82051,..
Cambodia,..,..,20.81838,..,..,..,..
Cameroon,..,..,..,..,..,..,..
Canada,..,..,..,..,..,..,..
Cabo Verde,..,37.5,..,..,..,..,..
Central African Republic,..,..,..,..,..,..,..
Chad,..,..,..,5.91133,..,..,..
Chile,..,..,..,..,..,..,..
China,..,..,..,..,..,..,..
"China, Hong Kong Special Administrative Region",..,..,..,..,..,..,..
"China, Macao Special Administrative Region",..,..,..,..,..,..,..
Colombia,29.03981,29.61276,29.42308,31.37876,31.37876,..,..
Congo,..,..,..,..,..,..,..
Costa Rica,31.76638,29.03752,31.73554,36.03819,36.65835,..,..
Cote d'Ivoire,..,..,..,14.60674,..,..,..
Croatia,49.34277,43.77143,..,..,..,..,..
Cuba,..,..,..,..,..,..,..
Cyprus,27.69231,31.14754,..,..,..,..,..
Czechia,37.68971,39.56926,..,..,..,..,..
Democratic Republic of the Congo,..,..,7.57576,..,..,..,..
Denmark,..,..,..,..,..,..,..
Ecuador,34.09364,31.38528,..,..,..,..,..
Egypt,27.91156,32.32906,34.19681,34.6664,35.01469,35.27093,..
El Salvador,35.48387,36.36364,28.05755,25.18519,16.66667,..,..
Estonia,51.63399,51.01351,..,..,..,..,..
Eswatini,..,..,29.31034,..,..,..,..
Ethiopia,7.63666,..,..,..,11.99041,..,..
Faeroe Islands,..,..,..,..,..,..,..
Finland,..,..,..,..,..,..,..
France,..,..,..,..,..,..,..
Gabon,..,21.875,..,..,..,..,..
Gambia,..,..,..,..,..,18.18182,..
Georgia,..,43.13725,41.86851,44.29066,47.75726,50.22523,..
Germany,..,..,..,..,..,..,..
Ghana,..,..,24.72198,..,..,..,..
Greece,..,..,..,..,..,..,..
Greenland,..,..,..,..,..,..,..
Guam,..,..,..,..,..,..,..
Guatemala,30.64516,33.78378,41.25,25.86207,22.06897,..,..
Guinea,..,..,..,..,..,..,..
Honduras,..,..,..,..,30.76923,..,..
Hungary,40.33092,38.8961,..,..,..,..,..
Iceland,..,..,..,..,..,..,..
India,..,..,..,..,..,..,..
Indonesia,..,..,..,..,..,..,..
Iran (Islamic Republic of),21.29064,..,27.25965,..,27.55992,..,..
Iraq,..,26.91706,29.41176,35.05039,26.70455,25.98091,..
Ireland,..,..,..,..,..,..,..
Israel,..,..,..,..,..,..,..
Italy,..,..,..,..,..,..,..
Jamaica,..,..,..,..,..,..,..
Japan,21.50582,22.22308,22.42841,..,..,..,..
Jordan,..,..,..,36.69903,21.46226,..,..
Kazakhstan,43.44186,44.85555,44.35591,45.57204,46.39547,48.89009,..
Kenya,..,..,..,..,..,..,..
Kuwait,43.75,..,26.31579,45.45455,14.28571,26.92308,..
Kyrgyzstan,..,45.92275,44.97608,44.44444,44.35484,..,..
Lao People's Democratic Republic,..,..,..,..,..,..,..
Latvia,61.52125,..,61.02362,61.28093,58.74636,..,..
Lesotho,..,..,60.86957,..,..,..,..
Libya,..,..,..,..,..,..,..
Lithuania,58.14978,60.36961,58.89328,60.36036,57.11575,..,..
Luxembourg,..,..,..,..,..,..,..
