Country,2013,2014,2015,2016,2017,2018,2019
Albania,..,..,..,..,..,..,..
Algeria,..,..,..,..,42.73825,..,..
American Samoa,..,..,..,..,..,..,..
Angola,..,..,..,19.38776,..,..,..
Argentina,..,..,..,..,..,..,..
Armenia,33.51648,32.66423,33.72549,35.08443,33.63472,42.05298,..
Australia,..,..,..,..,..,..,..
Austria,..,..,..,..,..,..,..
Azerbaijan,46.45669,45.36436,46.53465,53.31633,53.12164,52.00226,..
Bahrain,..,29.72136,..,..,..,..,..
Bangladesh,..,..,..,..,..,..,..
Belarus,31.50514,32.08433,30.73063,29.90952,29.42287,28.66667,..
Belgium,..,..,..,..,..,..,..
Benin,..,..,..,..,..,..,..
Bermuda,..,..,..,..,..,..,..
Bolivia (Plurinational State of),16.95402,18.97019,..,..,..,..,..
Bosnia and Herzegovina,29.56349,32.32323,38.90675,39.28129,35.41667,36.9969,..
Botswana,14.28571,..,..,..,..,..,..
Brazil,..,..,..,..,..,..,..
Brunei Darussalam,..,..,..,..,..,28.7037,..
Bulgaria,35.06523,30.91309,..,..,..,..,..
Burkina Faso,..,6.89655,..,..,16.90141,..,..
Burundi,..,..,..,..,..,8.10811,..
Cambodia,..,..,14.7651,..,..,..,..
Cameroon,..,..,..,..,..,..,..
Canada,..,..,..,..,..,..,..
Cabo Verde,..,20.58824,..,..,..,..,..
Central African Republic,..,..,..,..,..,..,..
Chad,..,..,..,0.6689,..,..,..
Chile,..,..,..,..,..,..,..
China,..,..,..,..,..,..,..
"China, Hong Kong Special Administrative Region",..,..,..,..,..,..,..
"China, Macao Special Administrative Region",18.98734,17.47573,16.21622,18.00643,17.0418,19.11111,..
Colombia,22.20555,21.80402,23.20587,25.5814,25.5814,..,..
Congo,..,..,..,..,..,..,..
Costa Rica,29.77346,29.49932,25.15723,24.10256,23.99299,..,..
Cote d'Ivoire,..,..,..,9.61538,..,..,..
Croatia,31.10347,34.57413,..,..,..,..,..
Cuba,..,..,..,..,..,..,..
Cyprus,28.13102,27.60618,..,..,..,..,..
Czechia,14.43336,13.94831,..,..,..,..,..
Democratic Republic of the Congo,..,..,13.41463,..,..,..,..
Denmark,..,..,..,..,..,..,..
Ecuador,29.89102,36.80556,..,..,..,..,..
Egypt,17.72596,23.37485,24.58043,26.21709,26.56997,28.90728,..
El Salvador,17.69231,17.05882,20.46512,16.89189,21.64948,..,..
