Country,2013,2014,2015,2016,2017,2018,2019
Albania,..,..,..,..,..,..,..
Algeria,..,..,..,..,60.31848,..,..
American Samoa,..,..,..,..,..,..,..
Angola,..,..,..,50.8982,..,..,..
Argentina,..,..,..,..,..,..,..
Armenia,61.71875,62.07729,75.4902,71.8894,65.63877,65.17413,..
Australia,..,..,..,..,..,..,..
Austria,..,..,..,..,..,..,..
Azerbaijan,58.26682,52.17179,52.72639,54.36803,55.77465,49.97424,..
Bahrain,..,52.06612,..,..,..,..,..
Bangladesh,..,..,..,..,..,..,..
Belarus,64.61187,62.90491,60.71775,62.88533,63.98467,67.99517,..
Belgium,..,..,..,..,..,..,..
Benin,..,..,..,..,..,..,..
Bermuda,..,..,..,..,..,..,..
Bolivia (Plurinational State of),51.5,49.80545,..,..,..,..,..
Bosnia and Herzegovina,58.06452,45.76271,72.22222,62.02532,63.07054,62.67606,..
Botswana,48,..,..,..,..,..,..
Brazil,..,..,..,..,..,..,..
Brunei Darussalam,..,..,..,..,..,66.15385,..
Bulgaria,56.9594,60.58049,..,..,..,..,..
Burkina Faso,..,20,..,..,18.41621,..,..
Burundi,..,..,..,..,..,21.73913,..
Cambodia,..,..,31.57895,..,..,..,..
Cameroon,..,..,..,..,..,..,..
Canada,..,..,..,..,..,..,..
Cabo Verde,..,71.42857,..,..,..,..,..
Central African Republic,..,..,..,..,..,..,..
Chad,..,..,..,5.47945,..,..,..
Chile,..,..,..,..,..,..,..
China,..,..,..,..,..,..,..
"China, Hong Kong Special Administrative Region",..,..,..,..,..,..,..
"China, Macao Special Administrative Region",37.01299,36.64921,37.40741,41.92547,44.31138,43.06667,..
Colombia,47.20982,48.28532,47.15739,48.64092,48.64092,..,..
Congo,..,..,..,..,..,..,..
Costa Rica,55.92972,51.51007,57.88423,57.40741,55.33708,..,..
C™te d'Ivoire,..,..,..,23.40183,..,..,..
Croatia,58.09129,59.76385,..,..,..,..,..
Cuba,..,..,..,..,..,..,..
Cyprus,44.08602,42.44604,..,..,..,..,..
Czechia,49.35459,48.63087,..,..,..,..,..
Democratic Republic of the Congo,..,..,15.04425,..,..,..,..
Denmark,..,..,..,..,..,..,..
Ecuador,46.79376,44.70678,..,..,..,..,..
Egypt,45.9063,45.60485,47.36818,48.17912,48.91096,48.85355,..
El Salvador,65.04854,64.34109,69.46565,59.67742,63.20755,..,..
Estonia,64.44834,62.98077,..,..,..,..,..
Eswatini,..,..,63.15789,..,..,..,..
Ethiopia,26.06978,..,..,..,13.42201,..,..
Faeroe Islands,..,..,..,..,..,..,..
Finland,..,..,..,..,..,..,..
France,..,..,..,..,..,..,..
Gabon,..,50.90909,..,..,..,..,..
Gambia,..,..,..,..,..,28.76712,..
Georgia,..,57.06806,61.03093,62.10269,61.90061,62.99652,..
Germany,..,..,..,..,..,..,..
Ghana,..,..,11.2311,..,..,..,..
Greece,..,..,..,..,..,..,..
Greenland,..,..,..,..,..,..,..
Guam,..,..,..,..,..,..,..
Guatemala,75,63.69048,71.64179,68.23529,72,..,..
Guinea,..,..,..,..,..,..,..
Honduras,..,..,..,..,45.78313,..,..
Hungary,47.68913,49.31996,..,..,..,..,..
Iceland,..,..,..,..,..,..,..
India,..,..,..,..,..,..,..
Indonesia,..,..,..,..,..,..,..
Iran (Islamic Republic of),39.62665,..,47.17052,..,46.91295,..,..
Iraq,..,51.74825,46.36752,48.05726,45.58824,45.49855,..
Ireland,..,..,..,..,..,..,..
Israel,..,..,..,..,..,..,..
Italy,..,..,..,..,..,..,..
