Country,2013,2014,2015,2016,2017,2018,2019
Albania,..,..,..,..,..,..,..
Algeria,..,..,..,..,71.7447,..,..
American Samoa,..,..,..,..,..,..,..
Angola,..,..,..,32.40997,..,..,..
Argentina,..,..,..,..,..,..,..
Armenia,46.39927,48.48628,50.29412,49.45328,48.97225,46.51899,..
Australia,..,..,..,..,..,..,..
Austria,..,..,..,..,..,..,..
Azerbaijan,53.90414,54.9937,56.01755,58.20622,58.8259,61.41079,..
Bahrain,..,32.6087,..,..,..,..,..
Bangladesh,..,..,..,..,..,..,..
Belarus,50.63031,49.11544,47.73519,48.51339,48.51542,48.89449,..
Belgium,..,..,..,..,..,..,..
Benin,..,..,..,..,..,..,..
Bermuda,45.16129,35.48387,35.48387,..,..,37.83784,..
Bolivia (Plurinational State of),61.01083,69.64286,..,..,..,..,..
Bosnia and Herzegovina,43.68932,55.11364,51.35135,55.59322,56.19835,48.7106,..
Botswana,29.60526,..,..,..,..,..,..
Brazil,..,..,..,..,..,..,..
Brunei Darussalam,..,..,..,..,..,40.74074,..
Bulgaria,53.07074,55.42484,..,..,..,..,..
Burkina Faso,..,14.96063,..,..,17.42424,..,..
Burundi,..,..,..,..,..,14.47964,..
Cambodia,..,..,22.95215,..,..,..,..
Cameroon,..,..,..,..,..,..,..
Canada,..,..,..,..,..,..,..
Cabo Verde,..,52.63158,..,..,..,..,..
Central African Republic,..,..,..,..,..,..,..
Chad,..,..,..,8.70968,..,..,..
Chile,..,..,..,..,..,..,..
China,..,..,..,..,..,..,..
"China, Hong Kong Special Administrative Region",..,..,..,..,..,..,..
"China, Macao Special Administrative Region",15.51724,15.74803,15.15152,26.10442,25.40717,22.01592,..
Colombia,30.83658,32.9263,32.88821,34.28953,34.28953,..,..
Congo,..,..,..,..,..,..,..
Costa Rica,34.47099,32.78107,38.90641,38.20346,41.19923,..,..
C™te d'Ivoire,..,..,..,15.36,..,..,..
Croatia,49.39314,51.25952,..,..,..,..,..
Cuba,..,..,..,..,..,..,..
Cyprus,36.94581,36.70669,..,..,..,..,..
Czechia,27.05874,25.71056,..,..,..,..,..
Democratic Republic of the Congo,..,..,8.19277,..,..,..,..
Denmark,..,..,..,..,..,..,..
Ecuador,41.03799,35.45856,..,..,..,..,..
Egypt,40.73329,40.00137,40.42289,40.99509,42.31226,40.61391,..
El Salvador,35.38462,35.05155,45.51282,41.23711,46.01227,..,..
Estonia,38.20346,39.31906,..,..,..,..,..
Eswatini,..,..,11.11111,..,..,..,..
Ethiopia,12.17184,..,..,..,14.14931,..,..
Faeroe Islands,..,..,..,..,..,..,..
Finland,..,..,..,..,..,..,..
France,..,..,..,..,..,..,..
Gabon,..,29.44162,..,..,..,..,..
Gambia,..,..,..,..,..,37.5,..
Georgia,..,46.98571,49.72222,47.96834,46.77829,46.6277,..
Germany,..,..,..,..,..,..,..
Ghana,..,..,9.28218,..,..,..,..
Greece,..,..,..,..,..,..,..
Greenland,..,..,..,..,..,..,..
Guam,..,..,..,..,..,..,..
Guatemala,41.73913,56.52174,41.25,45.05495,44.11765,..,..
Guinea,..,..,..,..,..,..,..
Honduras,..,..,..,..,43.90244,..,..
Hungary,23.03126,23.55157,..,..,..,..,..
Iceland,..,..,..,..,..,..,..
India,..,..,..,..,..,..,..
Indonesia,..,..,..,..,..,..,..
Iran (Islamic Republic of),34.886,..,38.82304,..,42.95269,..,..
Iraq,..,47.98155,49.6769,50.55329,45.51253,45.41246,..
Ireland,..,..,..,..,..,..,..
Israel,..,..,..,..,..,..,..
Italy,..,..,..,..,..,..,..
Jamaica,..,..,..,..,..,..,..
Japan,12.57599,12.59141,13.60623,..,..,..,..
Jordan,..,..,..,16.98276,17.75334,..,..
Kazakhstan,51.87586,52.13824,51.92483,51.98771,52.5587,53.41791,..
Kenya,..,..,..,..,..,..,..
Kuwait,41.76776,..,54.1769,54.57447,57.58718,58.5206,..
Kyrgyzstan,..,47.31707,50.50378,46.64279,44.88479,..,..
Lao People's Democratic Republic,..,..,..,..,..,..,..
Latvia,47.30316,..,46.11142,49.04996,47.57739,..,..
Lesotho,..,..,39.65517,..,..,..,..
Libya,..,..,..,..,..,..,..
Lithuania,46.08461,44.53782,44.6877,45.59251,48.04094,..,..
Luxembourg,..,..,..,..,..,..,..
Madagascar,..,33.75224,..,32.73322,31.46417,32.66129,..
Malawi,..,..,..,..,..,..,..
Malaysia,..,..,47.75473,..,..,..,..
Mali,..,..,11.76471,..,22.22222,..,..
Malta,28.23529,22.89157,..,..,..,..,..
Mauritania,..,..,..,25.33333,..,24.30213,..
Mauritius,..,..,..,..,..,36.79654,..
Mexico,..,..,..,..,..,..,..
Monaco,..,..,..,..,..,..,..
Mongolia,48.74302,48.69326,48.56734,48.91008,60.70288,55.1495,..
Montenegro,47.01493,55.17241,49.79592,..,..,..,..
Morocco,..,..,..,..,..,..,..
Mozambique,..,..,26.95167,..,..,..,..
Myanmar,..,..,..,..,72.72727,..,..
Namibia,..,27.71739,..,..,..,..,..
Nauru,..,..,..,..,..,..,..
Nepal,..,..,..,..,..,..,..
Netherlands,20.84468,20.01543,..,..,..,..,..
New Zealand,..,..,..,..,..,..,..
Nicaragua,..,..,..,..,..,..,..
Niger,11.28527,..,..,..,..,..,..
Nigeria,..,..,..,..,..,..,..
North Macedonia,..,38.61789,39.11917,48.48485,55.68685,56.99208,..
Norway,..,..,..,..,..,..,..
Oman,13.02083,24.11348,26.08696,23.65931,23.27273,23.28042,..
Pakistan,33.79388,..,39.69698,..,44.22372,..,..
Palestine,..,..,..,..,..,..,..
Panama,..,..,..,..,..,..,..
Papua New Guinea,..,..,..,37.35632,..,..,..
Paraguay,..,..,..,52.72727,50.83612,..,..
Peru,..,33.12789,34.18803,..,..,24.3553,..
Philippines,55.13669,..,54.00808,..,..,..,..
Poland,35.31119,34.31519,..,..,..,..,..
Portugal,45.52248,45.67643,..,..,..,..,..
Puerto Rico,..,..,..,..,..,..,..
Qatar,..,..,22.4359,..,..,30.74074,..
Republic of Korea,27.42455,27.62543,28.30999,..,..,..,..
Republic of Moldova,45.71918,47.15719,49.18455,50.43783,49.59714,50.04617,..
Romania,48.27517,44.56845,..,..,..,..,..
Russian Federation,41.45675,41.44959,41.8233,..,..,..,..
Rwanda,12.12121,..,..,18.05556,..,..,..
Saint Helena,..,..,..,..,..,..,..
Saint Lucia,..,..,..,..,..,..,..
Saint Vincent and the Grenadines,..,..,..,..,..,..,..
Saudi Arabia,..,..,..,..,..,..,..
Senegal,..,..,23.14815,..,..,..,..
Serbia,56.33663,53.76639,51.07807,49.05109,51.84813,58.07943,..
Seychelles,..,..,..,46.34146,..,..,..
Singapore,..,..,..,..,..,..,..
Slovakia,44.26594,43.16322,..,..,..,..,..
Slovenia,37.31836,..,..,..,..,..,..
South Africa,..,..,..,..,..,..,..
Spain,..,..,..,..,..,..,..
Sri Lanka,37.81272,45.23663,47.65419,..,..,..,..
Sudan,..,..,..,..,..,..,..
Sudan (pre-secession),..,..,..,..,..,..,..
Sweden,..,..,..,..,..,..,..
Switzerland,..,..,..,..,..,..,..
Syrian Arab Republic,..,..,30.2439,..,..,..,..
Tajikistan,30.2554,33.92857,29.57516,34.9454,28.94249,36.22921,..
Thailand,..,..,..,..,..,..,..
Togo,..,8.63309,7.40741,8.33333,8.87097,9.49367,..
Trinidad and Tobago,46.97509,48.79725,57.08955,50,52.1875,..,..
Tunisia,..,..,..,..,..,..,..
Turkey,36.03479,37.51809,..,..,..,..,..
Uganda,..,25,..,..,..,..,..
Ukraine,44.45252,43.52194,42.90558,43.41043,44.21744,43.0219,..
United Arab Emirates,..,..,..,..,..,..,..
United Kingdom of Great Britain and Northern Ireland,..,..,..,..,..,..,..
United Republic of Tanzania,..,..,..,..,..,..,..
United States of America,..,..,..,..,..,..,..
United States Virgin Islands,..,..,..,..,..,..,..
Uruguay,48.33539,48.97467,50,50.57604,50.60506,49.5935,..
Uzbekistan,..,34.16781,33.89965,34.03647,32.12821,35.23831,..
Venezuela (Bolivarian Republic of),45.08627,46.21543,56.16189,56.05929,..,..,..
Viet Nam,..,..,..,..,..,..,..
Zambia,..,..,..,..,..,..,..
Zimbabwe,..,..,..,..,..,..,..
