Country,2013,2014,2015,2016,2017,2018,2019
Albania,..,..,..,..,..,..,..
Algeria,..,..,..,..,51.16802,..,..
American Samoa,..,..,..,..,..,..,..
Angola,..,..,..,33.12343,..,..,..
Argentina,..,..,..,..,..,..,..
Armenia,46.32376,47.918,49.19014,48.4977,47.83073,47.28461,..
Australia,..,..,..,..,..,..,..
Austria,..,..,..,..,..,..,..
Azerbaijan,51.2979,50.90632,51.85255,54.97742,55.62167,55.57567,..
Bahrain,..,39.95157,..,..,..,..,..
Bangladesh,..,..,..,..,..,..,..
Belarus,39.02896,39.30868,38.31739,37.6689,37.38495,36.91942,..
Belgium,..,..,..,..,..,..,..
Benin,..,..,..,..,..,..,..
Bermuda,45.16129,35.48387,32.35294,..,..,37.83784,..
Bolivia (Plurinational State of),35.64174,38.02345,..,..,..,..,..
Bosnia and Herzegovina,36.23504,39.10615,44.30923,46.01399,43.95742,44.18052,..
Botswana,29.06815,..,..,..,..,..,..
Brazil,..,..,..,..,..,..,..
Brunei Darussalam,..,..,..,..,..,41.92308,..
Bulgaria,47.32195,46.67458,..,..,..,..,..
Burkina Faso,..,14.38095,..,..,16.97554,..,..
Burundi,..,..,..,..,..,13.8191,..
Cambodia,..,..,21.57521,..,..,..,..
Cameroon,..,..,..,..,..,..,..
Canada,..,..,..,..,..,..,..
Cabo Verde,..,36.90476,..,..,..,..,..
Central African Republic,..,..,..,..,..,..,..
Chad,..,..,..,4.05728,..,..,..
Chile,..,..,..,..,..,..,..
China,..,..,..,..,..,..,..
"China, Hong Kong Special Administrative Region",..,..,..,..,..,..,..
"China, Macao Special Administrative Region",24.53271,24.0458,25.72402,32.47508,33.20373,31.19848,..
Colombia,31.3455,33.58925,33.41765,35.0357,35.0357,..,..
Congo,..,..,..,..,..,..,..
Costa Rica,37.89035,35.08772,36.8864,37.21732,38.39966,..,..
Cote d'Ivoire,..,..,..,17.25118,..,..,..
Croatia,44.96644,46.14031,..,..,..,..,..
Cuba,..,..,..,..,..,..,..
Cyprus,33.43701,33.43582,..,..,..,..,..
Czechia,25.40028,24.38651,..,..,..,..,..
Democratic Republic of the Congo,..,..,9.38215,..,..,..,..
Denmark,..,..,..,..,..,..,..
Ecuador,37.4719,37.19512,..,..,..,..,..
Egypt,39.67212,38.7742,40.27856,41.16476,41.85878,42.17794,..
El Salvador,36.83206,36.27608,38.22153,34.3254,36.41405,..,..
Estonia,41.95902,42.11111,..,..,..,..,..
Eswatini,..,..,36.94779,..,..,..,..
Ethiopia,13.13917,..,..,..,12.70997,..,..
Faeroe Islands,..,..,..,..,..,..,..
Finland,..,..,..,..,..,..,..
France,..,..,..,..,..,..,..
Gabon,..,27.93734,..,..,..,..,..
Gambia,..,..,..,..,..,26.82927,..
Georgia,..,46.65845,44.00333,46.54369,47.17201,48.12168,..
Germany,..,..,..,..,..,..,..
Ghana,..,..,14.18859,..,..,..,..
Greece,..,..,..,..,..,..,..
Greenland,..,..,..,..,..,..,..
Guam,..,..,..,..,..,..,..
Guatemala,43.17618,46.08501,51.63934,43.57542,43.15245,..,..
Guinea,..,..,..,..,..,..,..
Honduras,..,..,..,..,33.8785,..,..
Hungary,25.78756,25.84735,..,..,..,..,..
Iceland,..,..,..,..,..,..,..
India,..,..,..,..,..,..,..
Indonesia,..,..,..,..,..,..,..
Iran (Islamic Republic of),28.60587,..,33.79466,..,30.86933,..,..
Iraq,..,38.8726,39.73678,41.41225,38.24484,38.46436,..
Ireland,..,..,..,..,..,..,..
Israel,..,..,..,..,..,..,..
Italy,..,..,..,..,..,..,..
Jamaica,..,..,..,..,..,..,..
Japan,12.07206,12.19183,12.69332,..,..,..,..
Jordan,..,..,..,18.54465,22.25806,..,..
Kazakhstan,49.22961,48.79432,49.18044,50.00376,49.68882,50.22782,..
Kenya,..,..,..,..,..,..,..
Kuwait,39.27778,..,48.87398,49.60663,51.48443,53.36788,..
Kyrgyzstan,..,43.86339,43.88799,44.44444,42.66427,..,..
Lao People's Democratic Republic,..,..,..,..,..,..,..
Latvia,47.16893,..,47.19126,49.19511,48.74763,..,..
Lesotho,..,..,36.28319,..,..,..,..
Libya,..,..,..,..,..,..,..
Lithuania,45.66986,46.64413,46.59462,47.61076,48.08849,..,..
Luxembourg,..,..,..,..,..,..,..
Madagascar,..,28.22775,..,29.7953,29.46429,30.69119,..
Malawi,..,..,..,..,..,..,..
Malaysia,..,..,48.24783,..,..,..,..
Mali,..,..,11.66078,..,18.08511,..,..
Malta,28.13488,27.46781,..,..,..,..,..
Mauritania,..,..,..,21.19636,..,22.39186,..
Mauritius,..,..,..,..,..,38.70015,..
Mexico,..,..,..,..,..,..,..
Monaco,..,..,..,..,..,..,..
Mongolia,51.51307,51.44429,50.56738,52.20759,60.64415,51.48515,..
Montenegro,50.3408,49.72015,47.9346,..,..,..,..
Morocco,..,..,..,36.69881,..,..,..
Mozambique,..,..,30.96609,..,..,..,..
Myanmar,..,..,..,..,75.82205,..,..
Namibia,..,31.57895,..,..,..,..,..
Nauru,..,..,..,..,..,..,..
Nepal,..,..,..,..,..,..,..
Netherlands,20.91036,20.6464,..,..,..,..,..
New Zealand,..,..,..,..,..,..,..
Nicaragua,..,..,..,..,..,..,..
Niger,10.85142,..,..,..,..,..,..
Nigeria,..,..,..,..,..,..,..
North Macedonia,..,48.81969,48.81603,51.60662,51.41509,53.6201,..
Norway,33.17513,33.69956,..,..,..,..,..
Oman,19.46309,23.52941,24.73842,39.02557,32.76956,37.47277,..
Pakistan,25.63392,..,31.88765,..,36.24723,..,..
Palestine,..,..,..,..,..,..,..
Panama,..,..,..,..,..,..,..
Papua New Guinea,..,..,..,32.86385,..,..,..
Paraguay,..,..,..,48.38976,48.60166,..,..
Peru,..,30.1651,31.08949,..,..,28.48569,..
Philippines,46.44257,..,49.08611,..,..,..,..
Poland,33.74414,33.17525,..,..,..,..,..
Portugal,42.28613,41.14651,..,..,..,..,..
Puerto Rico,..,..,..,..,..,..,..
Qatar,..,..,30.04552,..,..,29.30818,..
Republic of Korea,15.37049,15.46521,15.76759,..,..,..,..
Republic of Moldova,43.89652,44.5865,46.18677,46.02978,45.7345,45.65312,..
Romania,44.70253,44.92048,..,..,..,..,..
Russian Federation,39.15359,38.70183,38.39275,..,..,..,..
Rwanda,22.65625,..,..,18.53147,..,..,..
Saint Helena,..,..,..,..,..,..,..
Saint Lucia,..,..,..,..,..,..,..
Saint Vincent and the Grenadines,..,..,..,..,..,..,..
Saudi Arabia,..,..,..,..,..,..,..
Senegal,..,..,27.35715,..,..,..,..
Serbia,49.62875,47.62528,47.95027,46.61865,48.71234,50.7508,..
Seychelles,..,..,..,29.75207,..,..,..
Singapore,..,..,..,..,..,..,..
Slovakia,37.82758,37.32531,..,..,..,..,..
Slovenia,33.22256,..,..,..,..,..,..
South Africa,..,..,..,..,..,..,..
Spain,..,..,..,..,..,..,..
Sri Lanka,38.24745,45.04732,45.17748,..,..,..,..
Sudan,..,..,..,..,..,..,..
Sudan (pre-secession),..,..,..,..,..,..,..
Sweden,..,..,..,..,..,..,..
Switzerland,..,..,..,..,..,..,..
Syrian Arab Republic,..,..,31.20104,..,..,..,..
Tajikistan,35.55413,38.04756,37.0257,38.22857,39.58209,40.56272,..
Thailand,..,..,..,..,..,..,..
Togo,..,7.54258,6.80101,7.49354,7.60626,9.52381,..
Trinidad and Tobago,45.80153,51.29266,51.98488,48.05532,50.91743,..,..
Tunisia,..,..,..,..,..,..,..
Turkey,34.13481,34.76128,..,..,..,..,..
Uganda,..,26.58451,..,..,..,..,..
Ukraine,43.36407,43.40568,43.56079,41.74426,41.43262,41.39648,..
United Arab Emirates,..,..,..,..,..,..,..
United Kingdom of Great Britain and Northern Ireland,..,..,..,..,..,..,..
United Republic of Tanzania,..,..,..,..,..,..,..
United States of America,..,..,..,..,..,..,..
United States Virgin Islands,..,..,..,..,..,..,..
Uruguay,47.12772,47.09463,47.55897,47.92553,48.03356,47.73595,..
