Country,2013,2014,2015,2016,2017,2018,2019
Albania,..,..,..,..,..,..,..
Algeria,..,..,..,..,96403,..,..
American Samoa,..,..,..,..,..,..,..
Angola,..,..,..,1400,..,..,..
Argentina,81506,83462,82396,86562,83190,..,..
Armenia,3870,4144,3856,3682,3588,3384,..
Australia,..,..,..,..,..,..,..
Austria,71448,..,78051,..,83648,..,..
Azerbaijan,15784,16337,16137,15548,14732,14412,..
Bahrain,..,1560,..,..,..,..,..
Bangladesh,..,..,..,..,..,..,..
Belarus,18353,17372,16953,16879,17089,17804,..
Belgium,66724,..,73709,..,78867,..,..
Benin,..,..,..,..,..,..,..
Bermuda,31,31,34,..,..,37,..
Bolivia (Plurinational State of),1454,1618,..,..,..,..,..
Bosnia and Herzegovina,1245,1831,1797,1942,2377,1983,..
Botswana,760,..,..,..,..,..,..
Brazil,295212,316822,..,..,..,..,..
Brunei Darussalam,..,..,..,..,..,547,..
Bulgaria,16095,17795,19338,21081,20971,..,..
Burkina Faso,..,1555,..,..,2050,..,..
Burundi,..,..,..,..,..,615,..
Cambodia,..,..,794,..,..,..,..
Cameroon,..,..,..,..,..,..,..
Canada,..,..,..,..,..,..,..
Cabo Verde,..,153,..,..,..,..,..
Central African Republic,..,..,..,..,..,..,..
Chad,..,..,..,2031,..,2417,..
Chile,9795.441,12303.124,13015.062,14180.67,14413.459,..,..
China,..,..,..,..,..,..,..
"China, Hong Kong Special Administrative Region",28413,29927,29834,30935,31921,34556,..
"China, Macao Special Administrative Region",1110,1379,1688,2425,2771,2958,..
Colombia,8011,8280,10050,13001,13001,..,..
Congo,..,..,..,..,..,..,..
Costa Rica,4291,4072,4228,3885,3834,..,..
C™te d'Ivoire,..,..,..,4286,..,..,..
Croatia,11168,10726,11089,12951,13708,..,..
Cuba,4719,4355,3853,6839,6878,6954,..
Cyprus,2228,2164,2119,2178,2357,..,..
Czechia,51454.62,54493.32,56604.54,56177.88,59789.03,61966,..
Democratic Republic of the Congo,..,..,1310,..,..,..,..
Denmark,57876,58735,60492,60782,61961,..,..
Ecuador,9456,11410,..,..,..,..,..
Egypt,110772,124976,127770,132085,133527,138491,..
El Salvador,662,792,1001,941,981,..,..
Estonia,7515,7721,7181,6845,7344,..,..
Eswatini,..,..,360,..,..,..,..
Ethiopia,8221,..,..,..,15464,..,..
Faeroe Islands,..,..,..,..,..,..,..
Finland,56720,55515,55728,53752,54139,..,..
France,365737.25,379047.66,383842.82,396594,416217,..,..
Gabon,..,401,..,..,..,..,..
Gambia,..,..,..,..,..,125,..
Georgia,2762,7329,9069,9103,9078,10879,..
Germany,549283.35,..,586030,..,623124.561,..,..
Ghana,..,..,5578,..,..,..,..
Greece,53744,..,60736,..,61616,..,..
Greenland,..,..,..,..,..,..,..
Guam,..,..,..,..,..,..,..
Guatemala,514,562,602,656,494,..,..
Guinea,214,..,..,..,..,..,..
Honduras,..,..,207,..,538,..,..
Hungary,37803,39190,38418,38915,42729,..,..
Iceland,3356,..,3722,3935,3783,..,..
India,..,..,..,..,..,..,..
Indonesia,..,..,..,141281,166088,166690,..
Iran (Islamic Republic of),100014,..,126533,..,225658,..,..
Iraq,..,4765,6158,7782,12051,12558,..
Ireland,32084,..,33117,..,34791.493,..,..
Israel,..,..,..,..,..,..,..
Italy,163925,168074,174327,185916,195560,..,..
Jamaica,..,..,..,..,..,..,..
Japan,892406,926671,907455,917725,930720,935658,..
Jordan,..,..,9092,8929,10413,8587,..
Kazakhstan,17195,18930,18454,17421,17205,17454,..
Kenya,..,..,..,..,..,..,..
Kuwait,4025,4108,4258,4767,5196,5315,..
Kyrgyzstan,3063,3013,3441,3454,3281,3547,..
Lao People's Democratic Republic,..,..,..,..,..,..,..
Latvia,7448,7939,7827,7400,7504,..,..
Lesotho,..,..,118,..,..,..,..
Libya,..,..,..,..,..,..,..
Lithuania,18083,19371,17293,17746,18767,..,..
Luxembourg,2713,..,3134,..,3540,..,..
Madagascar,..,1828,..,1976,2175,2246,..
Malawi,..,..,..,..,..,..,..
Malaysia,..,84516,89861,108557,..,..,..
Mali,..,..,719,..,721,..,..
Malta,1383,1349,1412,1470,1546,..,..
Mauritania,..,..,..,2263,..,3206,..
Mauritius,..,..,..,..,..,1265,..
Mexico,42222.051,44661.74,48811.948,54354.135,..,..,..
Monaco,..,..,..,..,..,..,..
Mongolia,1912,1903,1867,1644,1799,1917,..
Montenegro,1617,1708,1766,1509,1528,..,..
Morocco,..,47006,..,50142,..,..,..
Mozambique,..,..,2434,..,..,..,..
Myanmar,..,..,..,..,1616,..,..
Namibia,..,749,..,..,..,..,..
Nauru,..,..,..,..,..,..,..
Nepal,..,..,..,..,..,..,..
Netherlands,110536.362,111795.274,112946,114589,115185,..,..
New Zealand,29300,..,39000,..,44000,..,..
Nicaragua,..,..,..,..,..,..,..
Niger,822,..,..,..,..,..,..
Nigeria,..,..,..,..,..,..,..
North Macedonia,2867,3793,3772,3697,3346,3464,..
Norway,47795,50025,52181,54601,57934,..,..
Oman,1235,1696,2313,2930,2795,4131,..
Pakistan,60699,..,81306,..,129851,..,..
Palestine,4533,..,..,..,..,..,..
Panama,622,482,492,593,622,..,..
Papua New Guinea,..,..,..,794,..,..,..
Paraguay,..,1610,1985,1619,1784,..,..
Peru,3502,3032,3374,..,1529,2496,..
Philippines,26624.74,..,20238.90914,..,..,..,..
Poland,109611,115375,118494,132547,187905,..,..
Portugal,78290,78736,81005,85780,89659,..,..
Puerto Rico,1976,..,2070,..,..,..,..
Qatar,..,..,2847,..,..,3105,..
Republic of Korea,410333,437447,453262,460769,482796,514170,..
Republic of Moldova,3250,3315,3368,3210,3180,3054,..
Romania,27600,27535,27253,27801,27367,..,..
Russian Federation,369015,373905,379411,370379,359793,347854,..
Rwanda,482,..,..,530,..,..,..
Saint Helena,..,..,..,..,..,..,..
Saint Lucia,..,..,..,..,..,..,..
Saint Vincent and the Grenadines,..,..,..,..,..,..,..
Saudi Arabia,35324,..,..,..,..,..,..
Senegal,..,..,14335,..,..,..,..
Serbia,14643,15163,16338,16592,16182,16213,..
Seychelles,..,..,..,149,..,..,..
Singapore,40358,40699,43159,43177,42769,..,..
Slovakia,24441,25080,24396,21048,20951,28755,..
Slovenia,12111,12155,11308,11282,14079,..,..
South Africa,45935,48479,51877,56761,61840,..,..
Spain,208766.634,210103.501,214227,218679.87,225994.984,..,..
Sri Lanka,5705,5424,6117,..,..,..,..
Sudan,..,..,..,..,..,..,..
Sudan (pre-secession),..,..,..,..,..,..,..
Sweden,101820,..,108761,..,107042,..,..
Switzerland,..,..,70834,..,73502.305,..,..
Syrian Arab Republic,..,..,6119,..,..,..,..
Tajikistan,2152,2332,2467,2601,2562,2654,..
Thailand,..,101356,108227,137284,150175,..,..
Togo,..,729,712,628,766,985,..
Trinidad and Tobago,1244,1228,1277,1375,1506,..,..
Tunisia,33337,33996,34589,37176,..,35273,..
Turkey,166097,181544,190784,191769,210769,..,..
Uganda,..,1942,..,..,..,..,..
Ukraine,65641,58695,53835,63694,59392,57630,..
United Arab Emirates,..,..,..,..,..,47346.16686,..
United Kingdom of Great Britain and Northern Ireland,466689.3,489181.2,496953,510980,..,..,..
United Republic of Tanzania,3064,..,..,..,..,..,..
United States of America,..,..,..,..,..,..,..
United States Virgin Islands,..,..,..,..,..,..,..
Uruguay,2642,2700,2719,2783,2810,2698,..
Uzbekistan,30035,30785,31680,31966,31860,31835,..
Venezuela (Bolivarian Republic of),11781,11873,10824,10382,..,..,..
Viet Nam,128998,..,131045,..,136070,..,..
Zambia,..,..,..,..,..,..,..
Zimbabwe,..,..,..,..,..,..,..
